employee_id,department,years_at_company,satisfaction_score,last_evaluation,salary_usd,left_company
EMP-1053,Finance,14,3.3,4.4,125684,0
EMP-1054,HR,7,1.3,1.1,148285,0
EMP-1055,Engineering,8,1.6,2.7,196795,1
EMP-1056,Finance,11,2.0,1.9,85448,0
EMP-1057,Finance,8,3.9,3.4,102098,0
EMP-1058,HR,8,2.6,3.0,50075,1
EMP-1059,Finance,10,1.9,2.2,76983,1
EMP-1060,Sales,9,1.0,1.0,195895,1
EMP-1061,Sales,8,1.4,2.0,84175,1
EMP-1062,Engineering,4,2.6,1.7,82086,0
EMP-1063,Marketing,5,2.3,4.5,88156,1
EMP-1064,HR,6,2.8,4.8,177246,0
EMP-1065,HR,9,2.1,4.0,88470,1
EMP-1066,Marketing,5,1.4,4.2,94413,0
EMP-1067,Engineering,1,4.6,1.3,89937,0
EMP-1068,Engineering,13,2.5,1.0,134557,0
EMP-1069,Finance,9,3.9,2.8,158271,1
EMP-1070,HR,4,2.8,2.1,125489,0
EMP-1071,HR,12,3.8,4.2,131403,0
EMP-1072,Engineering,8,4.1,4.6,135369,0
EMP-1073,Finance,10,4.0,1.5,193016,0
EMP-1074,Marketing,3,2.5,3.2,182625,0
EMP-1075,HR,5,2.1,3.1,68718,0
EMP-1076,Marketing,13,1.4,2.9,131334,1
EMP-1077,Marketing,4,3.5,2.9,139580,0
EMP-1078,Sales,1,3.3,1.3,76519,0
EMP-1079,Finance,13,3.2,1.0,93485,0
EMP-1080,Engineering,1,2.3,3.6,74946,1
EMP-1081,Finance,8,2.5,3.1,52092,0
EMP-1082,Sales,5,2.3,3.5,157489,0
EMP-1083,Marketing,2,3.6,1.3,74484,0
EMP-1084,Marketing,1,2.0,2.2,103262,0
EMP-1085,Marketing,12,3.6,5.0,73754,1
EMP-1086,Marketing,7,1.2,2.6,157950,1
EMP-1087,Finance,5,3.5,1.6,116644,0
EMP-1088,Marketing,1,1.2,1.1,72838,1
EMP-1089,Sales,12,4.3,3.4,182286,0
EMP-1090,Finance,1,4.4,2.2,176579,0
EMP-1091,Engineering,2,3.1,3.0,170409,0
EMP-1092,Marketing,8,2.6,4.4,92830,0
EMP-1093,HR,4,2.7,2.6,142310,0
EMP-1094,Sales,9,1.2,4.6,198633,0
EMP-1095,Finance,7,1.2,2.3,108049,1
EMP-1096,Marketing,11,2.5,4.8,153925,0
EMP-1097,Engineering,6,1.5,1.3,135745,0
EMP-1098,Finance,13,2.8,3.0,133537,0
EMP-1099,Sales,5,2.2,1.0,97937,0
EMP-1100,HR,15,4.5,2.5,134768,0
EMP-1101,HR,7,1.4,2.7,94207,0
EMP-1102,Marketing,8,4.8,2.3,184069,0
EMP-1103,Sales,2,4.9,3.6,124234,0
EMP-1104,Sales,14,1.7,3.6,72458,1
EMP-1105,Sales,14,1.2,3.3,136204,0
EMP-1106,HR,7,1.3,4.7,195535,0
EMP-1107,Finance,13,2.2,4.9,149263,0
EMP-1108,HR,13,4.5,1.2,71611,1
EMP-1109,Engineering,11,4.3,1.6,144394,1
EMP-1110,Engineering,7,1.3,1.7,179745,0
EMP-1111,Marketing,5,4.4,1.9,72023,0
EMP-1112,Finance,11,4.8,1.5,166578,0
EMP-1113,Finance,1,2.8,3.3,165063,0
EMP-1114,Marketing,14,2.7,2.8,187100,0
EMP-1115,Engineering,3,2.0,3.2,192370,0
EMP-1116,HR,11,2.7,4.2,127603,1
EMP-1117,HR,7,1.5,3.9,101452,0
EMP-1118,Finance,2,1.8,2.9,162884,1
EMP-1119,HR,15,1.2,4.2,131806,0
EMP-1120,Finance,6,2.8,2.2,50871,0
EMP-1121,Sales,10,3.5,1.4,97574,0
EMP-1122,Marketing,11,2.1,4.7,97132,1
EMP-1123,Sales,4,4.5,1.4,81777,0
EMP-1124,HR,5,3.4,2.1,81556,0
EMP-1125,HR,9,4.7,2.2,63999,0
EMP-1126,Engineering,2,1.8,3.3,102045,0
EMP-1127,Marketing,5,2.8,3.3,113264,0
EMP-1128,Marketing,10,3.8,3.6,176513,1
EMP-1129,Sales,10,3.6,4.2,52610,1
EMP-1130,Engineering,7,4.0,2.6,182951,0
EMP-1131,Engineering,12,3.0,1.4,170668,1
EMP-1132,Engineering,3,1.7,3.7,183363,1
EMP-1133,Sales,4,2.6,4.3,170353,0
EMP-1134,Finance,13,1.5,4.3,139163,1
EMP-1135,Finance,5,3.8,2.1,67541,0
EMP-1136,HR,9,2.2,2.7,123049,0
EMP-1137,Sales,1,3.4,2.6,173082,0
EMP-1138,Finance,8,2.7,1.1,163827,0
EMP-1139,Sales,1,4.2,3.2,164831,0
EMP-1140,Finance,10,3.6,3.9,92025,0
EMP-1141,Marketing,13,2.0,3.7,165324,0
EMP-1142,HR,3,2.6,3.1,56256,0
EMP-1143,Sales,3,3.9,1.3,93851,0
EMP-1144,Engineering,13,1.4,2.6,143099,0
EMP-1145,Engineering,8,3.2,3.4,89421,0
EMP-1146,Sales,3,2.8,4.8,141652,0
EMP-1147,HR,2,2.5,3.5,129823,0
EMP-1148,Engineering,12,4.3,2.3,72452,0
EMP-1149,Engineering,9,4.0,4.7,151732,0
EMP-1150,Marketing,13,2.6,5.0,104831,0
EMP-1151,Marketing,12,1.7,1.4,145252,1
EMP-1152,Sales,7,1.7,3.9,161785,1
EMP-1153,Finance,7,4.6,3.8,141006,0
EMP-1154,Marketing,6,5.0,3.3,104557,0
EMP-1155,HR,13,1.1,4.0,52137,1
EMP-1156,HR,8,3.4,1.2,82827,0
EMP-1157,HR,4,4.4,2.4,132182,1
EMP-1158,Engineering,15,1.9,3.0,172589,0
EMP-1159,Finance,8,3.2,4.9,160637,1
EMP-1160,Finance,3,1.5,2.1,194139,1
EMP-1161,Marketing,4,2.1,4.2,196050,0
EMP-1162,Marketing,6,1.4,3.1,97681,1
EMP-1163,Finance,2,4.4,3.7,54623,1
EMP-1164,Sales,12,4.4,2.8,84288,0
EMP-1165,Engineering,5,1.1,1.8,86247,0
EMP-1166,Sales,13,2.9,3.8,107831,0
EMP-1167,HR,8,2.0,3.8,172831,0
EMP-1168,Engineering,2,4.0,2.9,126363,1
EMP-1169,HR,5,3.4,1.2,135889,0
EMP-1170,Sales,14,2.8,4.8,126403,0
EMP-1171,Sales,3,4.1,3.6,115055,0
EMP-1172,HR,15,2.1,2.7,148585,1
EMP-1173,Finance,9,4.4,3.7,144309,0
EMP-1174,Marketing,12,4.3,2.5,178058,0
EMP-1175,HR,12,2.0,3.2,125484,1
EMP-1176,HR,7,3.9,4.7,74642,0
EMP-1177,Finance,12,1.6,4.2,133427,0
EMP-1178,Engineering,8,4.1,4.4,63979,0
EMP-1179,Sales,5,3.1,4.0,117082,0
EMP-1180,Sales,11,4.1,3.3,63684,0
EMP-1181,Marketing,11,3.3,3.7,73493,0
EMP-1182,Engineering,12,2.9,3.3,168776,1
EMP-1183,HR,9,3.1,4.4,149115,0
EMP-1184,HR,4,2.1,1.3,95327,0
EMP-1185,Sales,4,4.0,4.9,88516,0
EMP-1186,Sales,4,1.2,3.8,162201,0
EMP-1187,HR,8,2.4,1.2,121779,0
EMP-1188,Marketing,14,3.3,3.2,175804,0
EMP-1189,Marketing,15,1.9,3.1,88519,1
EMP-1190,Engineering,6,1.6,3.5,135695,0
EMP-1191,Sales,13,3.8,2.2,167221,1
EMP-1192,Finance,14,3.8,3.3,169625,1
EMP-1193,HR,13,3.2,2.3,54470,1
EMP-1194,HR,15,3.5,1.2,58527,0
EMP-1195,HR,1,1.9,3.6,182774,0
EMP-1196,Sales,2,4.3,4.8,90800,0
EMP-1197,Engineering,5,2.5,2.7,82429,0
EMP-1198,Sales,5,2.8,4.9,164856,0
EMP-1199,Finance,8,1.3,3.0,158961,1
EMP-1200,Marketing,6,2.3,2.1,115957,1
EMP-1201,Marketing,3,4.1,2.3,192456,1
EMP-1202,Marketing,3,3.3,2.3,88540,0
EMP-1203,Marketing,5,4.0,2.3,192313,0
EMP-1204,Sales,6,2.0,1.5,50392,1
EMP-1205,HR,7,4.2,3.1,109010,0
EMP-1206,HR,3,1.1,1.7,77944,1
EMP-1207,HR,12,3.1,1.1,135915,0
EMP-1208,Engineering,7,2.8,4.4,95388,1
EMP-1209,Marketing,2,4.0,3.5,76702,0
EMP-1210,HR,7,3.5,3.4,172953,0
EMP-1211,Marketing,14,2.7,4.9,149071,1
EMP-1212,Engineering,5,2.6,3.2,149515,0
EMP-1213,HR,6,2.4,2.5,149270,1
EMP-1214,Sales,11,3.9,2.1,54181,0
EMP-1215,Finance,7,4.5,3.8,182916,1
EMP-1216,Finance,5,4.5,4.0,51210,0
EMP-1217,Sales,9,2.0,3.6,163014,1
EMP-1218,Sales,3,5.0,2.9,63069,0
EMP-1219,HR,3,2.2,2.1,93575,0
EMP-1220,Marketing,6,1.8,3.3,78573,1
EMP-1221,Sales,8,1.5,2.0,63796,1
EMP-1222,Engineering,6,3.1,2.5,125702,0
EMP-1223,Engineering,15,4.6,4.4,74054,1
EMP-1224,Finance,4,1.6,2.9,133416,1
EMP-1225,Sales,6,2.5,2.3,112843,0
EMP-1226,HR,5,4.7,2.0,184894,0
EMP-1227,Marketing,4,4.3,1.5,169423,0
EMP-1228,Marketing,9,3.8,3.3,163367,0
EMP-1229,Sales,2,4.8,3.0,102008,0
EMP-1230,HR,5,3.9,3.0,195432,0
EMP-1231,Marketing,4,2.2,3.9,161851,0
EMP-1232,Engineering,12,4.1,1.7,117113,0
EMP-1233,HR,12,1.8,4.4,75253,1
EMP-1234,Sales,3,3.8,5.0,56881,0
EMP-1235,Engineering,2,3.7,3.3,68046,0
EMP-1236,Engineering,2,2.9,1.7,76917,1
EMP-1237,Engineering,1,4.0,4.1,59672,0
EMP-1238,Sales,7,2.3,3.6,64305,0
EMP-1239,Sales,8,4.9,2.9,68377,1
EMP-1240,Sales,2,2.7,2.2,81613,1
EMP-1241,HR,1,1.9,4.2,84859,1
EMP-1242,Sales,13,3.8,4.6,58689,1
EMP-1243,Marketing,12,3.7,1.7,119205,0
EMP-1244,Marketing,8,1.3,4.2,173374,0
EMP-1245,Sales,5,1.0,2.2,139008,1
EMP-1246,HR,8,4.6,1.3,93933,0
EMP-1247,HR,12,3.0,1.6,171999,0
EMP-1248,Engineering,13,4.8,2.6,108468,0
EMP-1249,Sales,2,3.2,4.4,189184,0
EMP-1250,Sales,13,4.3,4.7,183301,0
EMP-1251,Engineering,7,2.7,4.8,93772,0
EMP-1252,Sales,8,1.1,2.1,174504,1
EMP-1253,HR,12,3.7,5.0,160325,0
EMP-1254,Engineering,6,1.8,2.7,181844,0
EMP-1255,Engineering,3,4.0,2.2,130579,0
EMP-1256,Engineering,2,1.7,4.8,86942,1
EMP-1257,Engineering,9,1.3,3.9,104856,0
EMP-1258,Engineering,11,2.1,3.8,198810,1
EMP-1259,Engineering,11,3.9,1.3,61773,1
EMP-1260,HR,2,3.4,3.4,111582,0
EMP-1261,Sales,13,2.7,5.0,177491,0
EMP-1262,Marketing,1,1.7,1.7,86721,1
EMP-1263,Sales,10,3.3,4.7,73261,0
EMP-1264,HR,12,1.4,1.0,58434,1
EMP-1265,Marketing,7,3.8,4.6,105659,0
EMP-1266,Finance,15,2.7,1.9,141231,0
EMP-1267,Marketing,3,3.4,2.0,108268,0
EMP-1268,Engineering,14,3.0,2.5,61094,1
EMP-1269,Engineering,13,1.9,3.5,77242,1
EMP-1270,Engineering,2,3.7,4.3,139822,0
EMP-1271,Marketing,9,1.5,1.8,152149,1
EMP-1272,Finance,2,3.2,4.8,109721,0
EMP-1273,Engineering,12,3.4,2.3,152508,0
EMP-1274,Marketing,8,1.5,1.5,126089,0
EMP-1275,Sales,7,2.3,4.6,138790,0
EMP-1276,Finance,15,2.8,3.4,128462,0
EMP-1277,Sales,4,4.1,2.8,119034,0
EMP-1278,Engineering,8,1.2,1.2,180062,0
EMP-1279,Sales,2,4.9,3.0,148034,0
EMP-1280,Finance,14,4.2,2.0,88146,0
EMP-1281,Sales,8,4.8,3.4,156644,1
EMP-1282,HR,15,3.0,1.3,84605,0
EMP-1283,HR,12,2.5,1.2,81251,0
EMP-1284,Sales,13,4.1,2.9,178268,0
EMP-1285,Marketing,8,1.3,3.8,148234,0
EMP-1286,Engineering,12,2.1,1.5,74542,1
EMP-1287,Marketing,3,1.1,4.1,131123,1
EMP-1288,Finance,3,3.8,3.9,128669,0
EMP-1289,Sales,14,4.6,3.1,83216,0
EMP-1290,Engineering,7,4.5,1.2,132424,0
EMP-1291,Marketing,9,1.6,3.0,99221,0
EMP-1292,Marketing,9,1.3,3.2,53736,1
EMP-1293,Sales,4,2.6,2.0,185967,1
EMP-1294,Engineering,3,3.2,3.5,77442,0
EMP-1295,HR,7,5.0,2.1,61280,1
EMP-1296,HR,9,1.4,1.0,138283,1
EMP-1297,Marketing,8,1.9,1.8,62174,1
EMP-1298,HR,15,3.6,2.1,180220,0
EMP-1299,Finance,15,1.2,3.3,169989,1
EMP-1300,Marketing,8,4.0,4.6,143589,0
EMP-1301,Finance,8,3.7,2.1,69808,0
EMP-1302,HR,13,1.8,2.4,133856,0
EMP-1303,Engineering,8,4.7,2.1,110905,1
EMP-1304,Marketing,15,2.3,1.9,66416,1
EMP-1305,Finance,2,4.5,4.1,53506,0
EMP-1306,Engineering,6,1.8,1.1,144708,0
EMP-1307,Engineering,5,2.7,3.7,68455,0
EMP-1308,HR,14,4.4,2.4,110445,0
EMP-1309,Marketing,3,1.5,3.9,171623,0
EMP-1310,HR,11,2.6,3.7,148365,0
EMP-1311,Engineering,13,4.1,1.9,55902,1
EMP-1312,Engineering,13,2.3,2.5,84553,1
EMP-1313,HR,14,3.6,1.7,112355,0
EMP-1314,HR,5,4.7,4.8,182236,0
EMP-1315,Finance,12,4.3,3.5,178022,0
EMP-1316,Engineering,3,1.6,3.5,172089,0
EMP-1317,Finance,9,3.8,2.6,149711,0
EMP-1318,HR,10,1.7,4.9,185774,0
EMP-1319,Marketing,7,1.8,4.4,179392,0
EMP-1320,Sales,8,2.0,4.0,150265,0
EMP-1321,HR,15,4.7,2.4,77504,0
EMP-1322,Sales,8,1.1,4.0,97272,1
EMP-1323,HR,13,2.1,3.8,161094,0
EMP-1324,HR,10,1.2,2.8,64827,1
EMP-1325,Marketing,1,3.4,1.1,189675,0
EMP-1326,Marketing,6,2.0,3.7,106883,0
EMP-1327,Sales,3,4.9,3.2,82019,0
EMP-1328,Finance,3,3.0,1.3,186851,0
EMP-1329,Finance,7,1.4,4.8,130614,1
EMP-1330,Finance,4,3.3,4.3,191070,0
EMP-1331,Marketing,5,3.1,1.1,146052,0
EMP-1332,HR,1,4.7,2.3,135239,0
EMP-1333,Finance,11,2.8,2.6,100232,0
EMP-1334,Finance,9,2.8,4.0,164098,0
EMP-1335,Sales,7,4.8,3.6,87417,0
EMP-1336,Marketing,11,1.2,2.5,124181,1
EMP-1337,Engineering,15,2.6,4.4,120078,0
EMP-1338,HR,6,2.6,3.6,181487,0
EMP-1339,Finance,13,4.2,4.9,101402,0
EMP-1340,Sales,7,5.0,3.5,195036,0
EMP-1341,HR,4,3.6,3.3,144658,0
EMP-1342,Sales,1,1.5,1.1,144684,1
EMP-1343,Sales,3,3.1,1.6,151913,0
EMP-1344,HR,7,4.2,2.3,99575,0
EMP-1345,Finance,13,2.6,1.3,190523,0
EMP-1346,Engineering,11,1.3,2.3,140290,0
EMP-1347,Sales,4,3.5,2.6,70571,0
EMP-1348,HR,1,1.3,2.3,133517,1
EMP-1349,HR,12,2.4,4.9,55262,1
EMP-1350,Marketing,6,2.6,4.3,86444,0
EMP-1351,Sales,4,4.5,1.4,51249,0
EMP-1352,HR,11,1.1,3.0,158924,1
EMP-1353,Marketing,5,1.5,1.9,130020,1
EMP-1354,HR,15,3.8,4.9,137583,1
EMP-1355,Marketing,12,1.6,4.6,110210,0
EMP-1356,Marketing,2,3.1,2.0,160737,1
EMP-1357,Engineering,13,1.1,1.1,51554,0
EMP-1358,Finance,15,3.4,4.8,127808,0
EMP-1359,HR,12,4.6,3.9,101688,0
EMP-1360,Finance,10,4.3,3.5,91743,1
EMP-1361,Engineering,10,3.6,4.1,149293,0
EMP-1362,HR,13,4.7,2.6,177503,1
EMP-1363,Sales,10,4.0,3.9,95137,0
EMP-1364,Engineering,8,2.5,2.4,121359,0
EMP-1365,Finance,12,1.8,3.3,165415,0
EMP-1366,HR,6,1.6,1.5,166310,1
EMP-1367,Finance,13,2.2,1.9,182166,0
EMP-1368,HR,2,4.8,3.0,148198,0
EMP-1369,Engineering,5,4.3,3.7,110753,1
EMP-1370,Marketing,1,4.0,2.2,169433,0
EMP-1371,Sales,12,1.8,4.9,129153,1
EMP-1372,Finance,14,1.7,4.9,66933,1
EMP-1373,Engineering,5,3.0,3.0,70830,0
EMP-1374,Sales,14,1.6,2.9,159995,1
EMP-1375,Marketing,4,3.4,2.0,137327,0
EMP-1376,Finance,4,4.1,2.3,129997,0
EMP-1377,Sales,14,4.2,4.8,63782,1
EMP-1378,HR,11,1.7,2.0,175857,1
EMP-1379,Engineering,8,4.8,3.5,174308,0
EMP-1380,Sales,5,4.1,5.0,80270,0
EMP-1381,Finance,7,3.0,1.5,80771,0
EMP-1382,Finance,2,3.8,4.7,168420,0
EMP-1383,Engineering,10,2.5,2.5,109212,0
EMP-1384,Marketing,5,3.8,2.6,132848,0
EMP-1385,Finance,9,4.8,1.7,149902,1
EMP-1386,Finance,7,2.4,1.3,99724,1
EMP-1387,Engineering,1,4.1,4.3,183079,0
EMP-1388,Sales,6,3.5,4.7,88783,0
EMP-1389,Engineering,7,2.8,1.8,124240,0
EMP-1390,Sales,6,1.1,2.1,131941,1
EMP-1391,Finance,13,3.1,1.6,198441,0
EMP-1392,Finance,10,2.7,4.9,62855,1
EMP-1393,HR,3,1.9,1.5,169857,0
EMP-1394,Engineering,14,1.5,1.6,63826,1
EMP-1395,Finance,11,3.6,4.1,128122,0
EMP-1396,Engineering,4,3.7,2.6,156206,0
EMP-1397,Finance,14,3.0,2.4,125094,0
EMP-1398,HR,6,3.6,3.8,78985,0
EMP-1399,Finance,5,4.7,1.6,138880,0
EMP-1400,Sales,2,4.7,1.8,90750,0
EMP-1401,Marketing,9,4.2,1.6,168260,1
EMP-1402,Marketing,1,1.5,2.0,163950,1
EMP-1403,Marketing,1,4.2,2.2,67819,0
EMP-1404,HR,9,1.9,1.2,178778,0
EMP-1405,Finance,5,2.1,1.1,76946,0
EMP-1406,Sales,3,1.9,3.1,53529,1
EMP-1407,Sales,5,4.7,2.0,111756,0
EMP-1408,HR,12,4.6,3.3,128259,0
EMP-1409,Engineering,13,3.3,4.1,84128,0
EMP-1410,Marketing,13,1.4,4.1,94449,0
EMP-1411,HR,3,3.2,4.0,180905,0
EMP-1412,Finance,2,1.9,2.3,52430,1
EMP-1413,Sales,15,1.8,3.9,139585,1
EMP-1414,Finance,4,3.1,4.1,113159,0
EMP-1415,Sales,3,4.6,1.8,163607,0
EMP-1416,HR,8,1.2,2.4,189584,0
EMP-1417,Sales,8,4.3,2.1,135464,0
EMP-1418,Marketing,11,4.4,4.7,105088,0
EMP-1419,HR,9,1.6,4.5,166498,0
EMP-1420,HR,5,4.4,3.7,154890,0
EMP-1421,Sales,5,3.2,1.1,190464,0
EMP-1422,Sales,14,3.6,4.2,163556,0
EMP-1423,HR,9,4.2,3.8,78242,0
EMP-1424,Sales,14,2.3,1.5,176735,1
EMP-1425,Marketing,11,2.0,3.0,93307,0
EMP-1426,Sales,7,4.3,1.6,84375,0
EMP-1427,Marketing,10,2.6,1.3,171491,0
EMP-1428,HR,13,4.8,2.6,76727,1
EMP-1429,HR,8,2.0,3.4,137568,1
EMP-1430,Sales,14,3.8,4.4,167256,0
EMP-1431,HR,4,4.4,2.4,134918,0
EMP-1432,Sales,14,2.5,1.7,100318,0
EMP-1433,HR,4,4.4,2.5,94146,1
EMP-1434,HR,9,1.2,2.6,119486,1
EMP-1435,HR,11,1.6,1.2,61231,1
EMP-1436,Finance,1,3.2,4.3,52444,0
EMP-1437,Sales,14,4.9,4.3,60531,1
EMP-1438,Marketing,1,3.5,2.5,196342,1
EMP-1439,HR,5,2.6,1.3,191587,0
EMP-1440,Sales,3,4.7,3.6,136199,0
EMP-1441,Marketing,15,1.4,2.9,139883,1
EMP-1442,Marketing,10,2.5,2.6,136547,0
EMP-1443,Sales,6,1.1,2.1,106948,1
EMP-1444,Sales,5,3.9,4.2,164637,0
EMP-1445,Marketing,15,1.8,1.1,52720,0
EMP-1446,Finance,14,2.9,4.7,177448,0
EMP-1447,Marketing,7,3.1,2.4,178066,0
EMP-1448,HR,12,3.6,3.9,186536,0
EMP-1449,Marketing,10,1.0,3.1,117474,1
EMP-1450,Sales,10,1.5,1.0,86580,1
EMP-1451,Marketing,4,1.5,2.4,128500,0
EMP-1452,Marketing,9,2.4,4.3,107882,1
EMP-1453,Marketing,5,4.2,1.6,50547,1
EMP-1454,Engineering,13,1.1,3.5,74184,0
EMP-1455,Engineering,5,1.1,1.1,158018,1
EMP-1456,HR,5,3.4,4.4,62578,0
EMP-1457,HR,3,1.4,2.5,56764,1
EMP-1458,Engineering,11,2.9,4.8,51582,0
EMP-1459,HR,6,3.5,4.4,55194,0
EMP-1460,Engineering,3,1.6,3.1,103455,1
EMP-1461,Marketing,11,2.3,3.3,184653,0
EMP-1462,HR,11,2.6,4.7,109409,0
EMP-1463,Engineering,10,2.0,3.9,112117,0
EMP-1464,HR,12,2.1,3.6,99596,0
EMP-1465,Marketing,14,4.7,3.2,91692,0
EMP-1466,HR,2,1.8,4.9,139467,0
EMP-1467,HR,14,3.8,2.7,57241,0
EMP-1468,Engineering,9,2.0,3.3,172987,1
EMP-1469,Marketing,5,2.1,2.7,129524,0
EMP-1470,HR,14,1.4,3.6,154713,1
EMP-1471,Marketing,11,2.0,5.0,94403,1
EMP-1472,Marketing,2,2.9,4.4,129362,0
EMP-1473,Engineering,8,3.2,4.5,123184,0
EMP-1474,HR,7,3.3,1.6,124782,0
EMP-1475,Sales,2,4.2,2.9,195323,0
EMP-1476,Marketing,4,3.5,3.6,143070,0
EMP-1477,HR,4,1.9,3.1,95598,1
EMP-1478,HR,8,3.1,4.2,123785,0
EMP-1479,Marketing,3,2.6,3.1,105326,0
EMP-1480,Finance,8,1.6,3.9,85971,0
EMP-1481,HR,2,3.5,3.1,144057,0
EMP-1482,Finance,13,3.1,3.6,87025,0
EMP-1483,HR,5,3.5,4.4,63099,1
EMP-1484,Engineering,13,3.5,1.4,116282,0
EMP-1485,Sales,9,1.1,4.9,194673,0
EMP-1486,Engineering,1,1.2,4.8,84750,1
EMP-1487,Sales,12,2.9,1.2,80895,1
EMP-1488,Engineering,3,1.1,3.0,83347,0
EMP-1489,Engineering,11,1.3,4.3,181265,1
EMP-1490,HR,14,1.7,2.6,66353,1
EMP-1491,Engineering,9,4.3,2.1,62331,0
EMP-1492,HR,1,3.7,1.6,158433,0
EMP-1493,Sales,3,3.1,2.3,137120,0
EMP-1494,Finance,8,2.4,3.8,125071,0
EMP-1495,Engineering,12,1.7,3.7,145803,0
EMP-1496,Marketing,13,2.8,2.1,132064,0
EMP-1497,Marketing,5,3.0,2.7,117954,0
EMP-1498,Sales,2,4.5,4.4,131475,0
EMP-1499,Marketing,3,2.9,3.0,104717,0
EMP-1500,Engineering,1,4.4,4.5,145973,0
EMP-1501,Sales,8,1.5,4.9,161726,0
EMP-1502,Sales,3,2.2,3.2,52396,0
EMP-1503,Marketing,4,4.4,3.9,123593,0
EMP-1504,Marketing,14,3.2,2.6,114356,0
EMP-1505,Engineering,11,4.5,3.8,171117,0
EMP-1506,Marketing,1,1.3,2.0,58161,0
EMP-1507,Sales,5,2.1,2.8,106195,0
EMP-1508,Engineering,12,2.3,2.8,91686,1
EMP-1509,Engineering,8,2.3,3.2,164352,1
EMP-1510,Marketing,6,4.8,4.4,120683,0
EMP-1511,Marketing,13,2.3,2.8,119907,0
EMP-1512,Engineering,3,1.2,1.8,113875,0
EMP-1513,HR,9,2.0,3.4,73838,1
EMP-1514,Finance,15,4.9,3.2,191964,0
EMP-1515,HR,4,1.2,3.7,139779,1
EMP-1516,HR,12,3.1,3.9,193082,0
EMP-1517,Engineering,12,2.0,4.3,112725,0
EMP-1518,Sales,2,3.2,3.9,68965,0
EMP-1519,Marketing,7,2.9,3.1,72563,0
EMP-1520,HR,10,1.5,2.3,76718,1
EMP-1521,Marketing,7,2.2,3.1,115520,0
EMP-1522,Finance,8,3.1,3.4,76325,0
EMP-1523,Engineering,8,2.9,4.0,55167,1
EMP-1524,Marketing,10,3.6,4.0,71814,0
EMP-1525,Engineering,12,1.2,3.2,113845,0
EMP-1526,Sales,5,2.1,4.0,79895,0
EMP-1527,Sales,6,3.4,2.6,74423,0
EMP-1528,HR,13,1.6,4.3,159510,1
EMP-1529,Sales,4,5.0,4.5,71412,0
EMP-1530,Finance,8,1.5,1.4,140023,1
EMP-1531,Finance,9,4.5,4.7,191196,0
