date,ticket_id,category,resolution_time_hrs,customer_satisfaction,agent_id
2023-01-04,TCK-10036,Refunds,41.3,2,AGT-14
2023-01-04,TCK-10037,Refunds,15.8,1,AGT-11
2023-01-04,TCK-10038,Account,29.3,4,AGT-10
2023-01-04,TCK-10039,Refunds,23.9,3,AGT-33
2023-01-04,TCK-10040,Technical,28.8,2,AGT-42
2023-01-04,TCK-10041,Billing,71.6,2,AGT-41
2023-01-05,TCK-10042,Refunds,10.2,4,AGT-50
2023-01-05,TCK-10043,Refunds,51.8,4,AGT-11
2023-01-05,TCK-10044,Technical,18.1,1,AGT-41
2023-01-05,TCK-10045,Billing,55.4,3,AGT-17
2023-01-05,TCK-10046,Account,13.5,3,AGT-12
2023-01-05,TCK-10047,Technical,46.6,5,AGT-17
2023-01-05,TCK-10048,Refunds,42.6,3,AGT-43
2023-01-05,TCK-10049,Technical,70.8,3,AGT-29
2023-01-05,TCK-10050,Account,17.8,2,AGT-41
2023-01-05,TCK-10051,Technical,48.5,4,AGT-18
2023-01-05,TCK-10052,Account,9.4,1,AGT-47
2023-01-06,TCK-10053,Refunds,50.3,3,AGT-23
2023-01-06,TCK-10054,Technical,68.9,1,AGT-32
2023-01-06,TCK-10055,Refunds,43.4,5,AGT-36
2023-01-06,TCK-10056,Refunds,71.3,1,AGT-31
2023-01-06,TCK-10057,Billing,52.8,3,AGT-17
2023-01-06,TCK-10058,Account,54.0,2,AGT-40
2023-01-06,TCK-10059,Technical,1.0,5,AGT-40
2023-01-06,TCK-10060,Billing,17.7,3,AGT-10
2023-01-06,TCK-10061,Billing,59.8,1,AGT-20
2023-01-07,TCK-10062,Account,51.0,5,AGT-44
2023-01-07,TCK-10063,Refunds,52.8,2,AGT-11
2023-01-07,TCK-10064,Technical,16.8,1,AGT-20
2023-01-07,TCK-10065,Account,5.4,3,AGT-44
2023-01-07,TCK-10066,Refunds,26.5,5,AGT-45
2023-01-07,TCK-10067,Technical,10.6,1,AGT-25
2023-01-07,TCK-10068,Refunds,37.5,2,AGT-41
2023-01-07,TCK-10069,Technical,69.1,5,AGT-42
2023-01-07,TCK-10070,Account,37.3,4,AGT-11
2023-01-07,TCK-10071,Refunds,7.7,4,AGT-30
2023-01-07,TCK-10072,Billing,63.7,4,AGT-33
2023-01-08,TCK-10073,Billing,19.9,4,AGT-36
2023-01-08,TCK-10074,Refunds,11.6,2,AGT-19
2023-01-08,TCK-10075,Account,60.4,1,AGT-33
2023-01-08,TCK-10076,Technical,36.8,3,AGT-20
2023-01-08,TCK-10077,Refunds,18.7,3,AGT-49
2023-01-08,TCK-10078,Technical,16.1,3,AGT-17
2023-01-08,TCK-10079,Account,10.2,5,AGT-16
2023-01-08,TCK-10080,Account,44.3,3,AGT-50
2023-01-08,TCK-10081,Account,54.9,3,AGT-43
2023-01-08,TCK-10082,Account,50.1,3,AGT-49
2023-01-08,TCK-10083,Technical,57.6,2,AGT-45
2023-01-09,TCK-10084,Technical,44.8,4,AGT-33
2023-01-09,TCK-10085,Account,9.3,4,AGT-33
2023-01-09,TCK-10086,Billing,14.3,1,AGT-15
2023-01-09,TCK-10087,Billing,32.4,4,AGT-27
2023-01-09,TCK-10088,Account,65.4,2,AGT-28
2023-01-09,TCK-10089,Refunds,19.8,2,AGT-10
2023-01-09,TCK-10090,Account,71.8,1,AGT-16
2023-01-09,TCK-10091,Refunds,56.5,3,AGT-15
2023-01-09,TCK-10092,Billing,10.9,5,AGT-15
2023-01-09,TCK-10093,Account,11.3,3,AGT-42
2023-01-10,TCK-10094,Billing,14.9,2,AGT-37
2023-01-10,TCK-10095,Billing,17.5,4,AGT-24
2023-01-10,TCK-10096,Account,14.8,3,AGT-10
2023-01-10,TCK-10097,Account,32.2,2,AGT-22
2023-01-10,TCK-10098,Account,19.6,3,AGT-26
2023-01-10,TCK-10099,Account,32.1,2,AGT-22
2023-01-10,TCK-10100,Technical,25.3,5,AGT-46
2023-01-10,TCK-10101,Account,39.1,2,AGT-35
2023-01-10,TCK-10102,Technical,21.6,3,AGT-28
2023-01-10,TCK-10103,Technical,27.3,1,AGT-33
2023-01-10,TCK-10104,Billing,57.3,1,AGT-49
2023-01-10,TCK-10105,Refunds,70.6,1,AGT-14
2023-01-11,TCK-10106,Account,22.7,5,AGT-47
2023-01-11,TCK-10107,Account,53.8,1,AGT-17
2023-01-11,TCK-10108,Account,7.1,2,AGT-40
2023-01-11,TCK-10109,Refunds,54.2,2,AGT-50
2023-01-11,TCK-10110,Billing,71.5,1,AGT-17
2023-01-11,TCK-10111,Billing,10.2,1,AGT-31
2023-01-11,TCK-10112,Billing,22.2,5,AGT-41
2023-01-11,TCK-10113,Technical,18.2,1,AGT-19
2023-01-11,TCK-10114,Technical,61.9,5,AGT-11
2023-01-11,TCK-10115,Billing,49.7,4,AGT-19
2023-01-11,TCK-10116,Billing,61.4,1,AGT-39
2023-01-11,TCK-10117,Refunds,40.2,4,AGT-18
2023-01-12,TCK-10118,Billing,53.9,2,AGT-37
2023-01-12,TCK-10119,Technical,54.6,5,AGT-45
2023-01-12,TCK-10120,Refunds,64.2,4,AGT-37
2023-01-12,TCK-10121,Account,43.0,5,AGT-50
2023-01-12,TCK-10122,Account,11.5,2,AGT-13
2023-01-12,TCK-10123,Refunds,50.9,4,AGT-23
2023-01-12,TCK-10124,Billing,16.5,5,AGT-29
2023-01-12,TCK-10125,Account,51.0,4,AGT-13
2023-01-12,TCK-10126,Technical,26.5,4,AGT-12
2023-01-12,TCK-10127,Refunds,67.0,1,AGT-39
2023-01-12,TCK-10128,Billing,30.0,4,AGT-10
2023-01-12,TCK-10129,Technical,11.9,5,AGT-36
2023-01-13,TCK-10130,Account,69.1,1,AGT-39
2023-01-13,TCK-10131,Account,61.4,3,AGT-39
2023-01-13,TCK-10132,Refunds,25.0,5,AGT-41
2023-01-13,TCK-10133,Account,29.8,1,AGT-47
2023-01-13,TCK-10134,Technical,16.3,2,AGT-18
2023-01-13,TCK-10135,Technical,15.0,2,AGT-46
2023-01-13,TCK-10136,Account,63.0,5,AGT-45
2023-01-13,TCK-10137,Billing,31.6,4,AGT-15
2023-01-13,TCK-10138,Technical,0.5,5,AGT-21
2023-01-13,TCK-10139,Billing,10.7,4,AGT-39
2023-01-13,TCK-10140,Account,5.1,4,AGT-50
2023-01-13,TCK-10141,Billing,42.5,4,AGT-26
2023-01-13,TCK-10142,Billing,52.1,5,AGT-19
2023-01-13,TCK-10143,Account,17.0,4,AGT-43
2023-01-14,TCK-10144,Account,16.5,4,AGT-47
2023-01-14,TCK-10145,Technical,14.4,4,AGT-28
2023-01-14,TCK-10146,Technical,53.9,5,AGT-26
2023-01-14,TCK-10147,Billing,19.0,3,AGT-34
2023-01-14,TCK-10148,Technical,41.6,3,AGT-19
2023-01-14,TCK-10149,Billing,9.3,4,AGT-31
2023-01-14,TCK-10150,Technical,19.7,2,AGT-29
2023-01-14,TCK-10151,Billing,54.0,4,AGT-33
2023-01-14,TCK-10152,Refunds,60.8,5,AGT-25
2023-01-14,TCK-10153,Technical,35.8,2,AGT-28
2023-01-15,TCK-10154,Billing,39.7,3,AGT-27
2023-01-15,TCK-10155,Refunds,11.9,4,AGT-20
2023-01-15,TCK-10156,Billing,66.4,2,AGT-14
2023-01-15,TCK-10157,Technical,44.1,3,AGT-50
2023-01-15,TCK-10158,Refunds,43.9,1,AGT-47
2023-01-15,TCK-10159,Account,67.8,5,AGT-18
2023-01-15,TCK-10160,Refunds,26.8,5,AGT-38
2023-01-15,TCK-10161,Technical,24.1,5,AGT-34
2023-01-15,TCK-10162,Billing,16.9,2,AGT-35
2023-01-15,TCK-10163,Billing,29.9,2,AGT-48
2023-01-16,TCK-10164,Refunds,60.7,2,AGT-40
2023-01-16,TCK-10165,Refunds,56.9,2,AGT-40
2023-01-16,TCK-10166,Technical,68.5,1,AGT-36
2023-01-16,TCK-10167,Billing,22.9,4,AGT-34
2023-01-16,TCK-10168,Account,4.6,3,AGT-31
2023-01-16,TCK-10169,Billing,7.0,5,AGT-43
2023-01-16,TCK-10170,Refunds,44.0,4,AGT-47
2023-01-16,TCK-10171,Account,36.2,3,AGT-50
2023-01-16,TCK-10172,Technical,15.1,1,AGT-44
2023-01-16,TCK-10173,Refunds,48.8,1,AGT-18
2023-01-16,TCK-10174,Technical,42.1,5,AGT-19
2023-01-16,TCK-10175,Refunds,4.2,1,AGT-42
2023-01-16,TCK-10176,Billing,51.1,2,AGT-31
2023-01-17,TCK-10177,Refunds,32.9,5,AGT-21
2023-01-17,TCK-10178,Account,27.7,1,AGT-49
2023-01-17,TCK-10179,Account,68.0,2,AGT-36
2023-01-17,TCK-10180,Account,55.2,4,AGT-33
2023-01-17,TCK-10181,Technical,1.7,4,AGT-21
2023-01-17,TCK-10182,Technical,34.6,2,AGT-26
2023-01-17,TCK-10183,Billing,70.7,4,AGT-12
2023-01-17,TCK-10184,Account,43.7,2,AGT-31
2023-01-17,TCK-10185,Account,31.7,5,AGT-19
2023-01-17,TCK-10186,Refunds,34.3,2,AGT-34
2023-01-18,TCK-10187,Billing,10.1,5,AGT-16
2023-01-18,TCK-10188,Account,50.0,3,AGT-43
2023-01-18,TCK-10189,Technical,19.0,1,AGT-25
2023-01-18,TCK-10190,Technical,59.7,1,AGT-18
2023-01-18,TCK-10191,Account,18.2,1,AGT-17
2023-01-18,TCK-10192,Account,32.7,1,AGT-43
2023-01-18,TCK-10193,Account,47.6,2,AGT-22
2023-01-18,TCK-10194,Billing,41.6,3,AGT-22
2023-01-18,TCK-10195,Technical,9.9,5,AGT-44
2023-01-18,TCK-10196,Refunds,31.1,3,AGT-23
2023-01-18,TCK-10197,Refunds,70.5,2,AGT-24
2023-01-18,TCK-10198,Billing,54.6,5,AGT-44
2023-01-19,TCK-10199,Account,31.7,5,AGT-48
2023-01-19,TCK-10200,Billing,35.7,2,AGT-17
2023-01-19,TCK-10201,Refunds,54.1,1,AGT-15
2023-01-19,TCK-10202,Billing,9.4,1,AGT-10
2023-01-19,TCK-10203,Technical,14.1,5,AGT-39
2023-01-19,TCK-10204,Refunds,61.3,1,AGT-18
2023-01-19,TCK-10205,Technical,65.4,3,AGT-18
2023-01-19,TCK-10206,Account,1.8,1,AGT-34
2023-01-19,TCK-10207,Billing,66.1,1,AGT-29
2023-01-19,TCK-10208,Account,68.1,1,AGT-14
2023-01-19,TCK-10209,Refunds,4.9,3,AGT-16
2023-01-20,TCK-10210,Billing,55.4,1,AGT-24
2023-01-20,TCK-10211,Account,9.3,2,AGT-10
2023-01-20,TCK-10212,Billing,31.6,5,AGT-25
2023-01-20,TCK-10213,Billing,54.8,4,AGT-23
2023-01-20,TCK-10214,Technical,70.7,5,AGT-25
2023-01-20,TCK-10215,Technical,5.5,1,AGT-31
2023-01-20,TCK-10216,Billing,38.0,4,AGT-13
2023-01-20,TCK-10217,Refunds,1.1,4,AGT-42
2023-01-20,TCK-10218,Billing,43.0,5,AGT-17
2023-01-20,TCK-10219,Technical,59.7,4,AGT-10
2023-01-20,TCK-10220,Account,48.5,4,AGT-39
2023-01-21,TCK-10221,Technical,22.4,5,AGT-16
2023-01-21,TCK-10222,Technical,66.2,2,AGT-45
2023-01-21,TCK-10223,Billing,70.4,1,AGT-21
2023-01-21,TCK-10224,Technical,71.9,3,AGT-12
2023-01-21,TCK-10225,Billing,5.9,5,AGT-11
2023-01-21,TCK-10226,Account,15.5,4,AGT-47
2023-01-21,TCK-10227,Billing,14.5,5,AGT-43
2023-01-21,TCK-10228,Account,3.5,2,AGT-41
2023-01-21,TCK-10229,Account,33.3,4,AGT-24
2023-01-21,TCK-10230,Account,50.5,5,AGT-48
2023-01-21,TCK-10231,Refunds,24.4,4,AGT-12
2023-01-21,TCK-10232,Billing,32.6,1,AGT-46
2023-01-21,TCK-10233,Refunds,9.1,3,AGT-25
2023-01-21,TCK-10234,Refunds,2.2,3,AGT-25
2023-01-21,TCK-10235,Refunds,44.1,4,AGT-18
2023-01-22,TCK-10236,Technical,1.4,2,AGT-23
2023-01-22,TCK-10237,Refunds,65.6,5,AGT-44
2023-01-22,TCK-10238,Billing,54.7,4,AGT-45
2023-01-22,TCK-10239,Account,63.7,5,AGT-13
2023-01-22,TCK-10240,Billing,49.0,4,AGT-24
2023-01-22,TCK-10241,Billing,13.0,2,AGT-11
2023-01-22,TCK-10242,Refunds,21.9,5,AGT-14
2023-01-22,TCK-10243,Billing,6.1,3,AGT-26
2023-01-22,TCK-10244,Refunds,17.6,2,AGT-19
2023-01-22,TCK-10245,Refunds,36.5,3,AGT-41
2023-01-22,TCK-10246,Account,67.3,5,AGT-43
2023-01-22,TCK-10247,Refunds,52.8,3,AGT-42
2023-01-23,TCK-10248,Refunds,44.4,5,AGT-47
2023-01-23,TCK-10249,Billing,23.1,3,AGT-12
2023-01-23,TCK-10250,Account,50.0,2,AGT-32
2023-01-23,TCK-10251,Billing,48.8,2,AGT-49
2023-01-23,TCK-10252,Account,38.6,3,AGT-24
2023-01-23,TCK-10253,Technical,41.2,5,AGT-32
2023-01-23,TCK-10254,Refunds,44.9,5,AGT-41
2023-01-23,TCK-10255,Account,46.6,1,AGT-48
2023-01-23,TCK-10256,Billing,40.4,1,AGT-48
2023-01-23,TCK-10257,Technical,25.5,1,AGT-25
2023-01-24,TCK-10258,Technical,24.5,2,AGT-47
2023-01-24,TCK-10259,Refunds,29.2,5,AGT-40
2023-01-24,TCK-10260,Refunds,49.6,1,AGT-45
2023-01-24,TCK-10261,Account,48.2,5,AGT-12
2023-01-24,TCK-10262,Refunds,9.2,4,AGT-47
2023-01-24,TCK-10263,Account,50.5,3,AGT-48
2023-01-24,TCK-10264,Technical,61.3,5,AGT-35
2023-01-24,TCK-10265,Technical,32.8,2,AGT-48
2023-01-24,TCK-10266,Account,66.8,2,AGT-43
2023-01-24,TCK-10267,Account,1.0,3,AGT-48
2023-01-24,TCK-10268,Technical,14.9,3,AGT-46
2023-01-25,TCK-10269,Refunds,58.1,3,AGT-44
2023-01-25,TCK-10270,Refunds,50.4,5,AGT-42
2023-01-25,TCK-10271,Billing,2.6,4,AGT-22
2023-01-25,TCK-10272,Billing,53.9,5,AGT-10
2023-01-25,TCK-10273,Refunds,8.3,3,AGT-34
2023-01-25,TCK-10274,Technical,22.2,2,AGT-28
2023-01-25,TCK-10275,Refunds,52.5,1,AGT-46
2023-01-25,TCK-10276,Billing,41.4,4,AGT-32
2023-01-25,TCK-10277,Billing,39.7,2,AGT-45
2023-01-25,TCK-10278,Account,36.8,4,AGT-37
2023-01-25,TCK-10279,Refunds,35.2,3,AGT-12
2023-01-25,TCK-10280,Refunds,61.7,3,AGT-26
2023-01-26,TCK-10281,Technical,50.8,5,AGT-46
2023-01-26,TCK-10282,Refunds,12.2,1,AGT-27
2023-01-26,TCK-10283,Account,13.4,3,AGT-43
2023-01-26,TCK-10284,Billing,66.0,2,AGT-44
2023-01-26,TCK-10285,Refunds,45.5,5,AGT-13
2023-01-26,TCK-10286,Refunds,25.4,4,AGT-32
2023-01-26,TCK-10287,Technical,19.4,2,AGT-36
2023-01-26,TCK-10288,Refunds,68.0,5,AGT-17
2023-01-26,TCK-10289,Technical,50.2,3,AGT-37
2023-01-26,TCK-10290,Refunds,8.2,3,AGT-35
2023-01-27,TCK-10291,Billing,43.1,4,AGT-16
2023-01-27,TCK-10292,Account,12.5,4,AGT-10
2023-01-27,TCK-10293,Account,10.0,2,AGT-44
2023-01-27,TCK-10294,Account,20.1,2,AGT-42
2023-01-27,TCK-10295,Refunds,67.7,2,AGT-21
2023-01-27,TCK-10296,Billing,64.7,1,AGT-34
2023-01-27,TCK-10297,Account,44.1,1,AGT-46
2023-01-27,TCK-10298,Technical,58.8,4,AGT-17
2023-01-27,TCK-10299,Technical,54.6,4,AGT-37
2023-01-27,TCK-10300,Billing,61.6,3,AGT-10
2023-01-27,TCK-10301,Billing,45.4,1,AGT-12
2023-01-27,TCK-10302,Account,40.6,2,AGT-28
2023-01-28,TCK-10303,Account,61.0,5,AGT-15
2023-01-28,TCK-10304,Refunds,28.6,3,AGT-42
2023-01-28,TCK-10305,Technical,9.1,3,AGT-50
2023-01-28,TCK-10306,Billing,43.9,4,AGT-49
2023-01-28,TCK-10307,Technical,16.5,3,AGT-46
2023-01-28,TCK-10308,Refunds,38.0,2,AGT-39
2023-01-28,TCK-10309,Account,36.8,2,AGT-48
2023-01-28,TCK-10310,Billing,62.8,1,AGT-47
2023-01-28,TCK-10311,Billing,62.2,3,AGT-20
2023-01-28,TCK-10312,Technical,66.8,5,AGT-32
2023-01-28,TCK-10313,Refunds,26.5,2,AGT-32
2023-01-28,TCK-10314,Account,4.9,1,AGT-44
2023-01-28,TCK-10315,Refunds,28.4,5,AGT-44
2023-01-28,TCK-10316,Refunds,40.7,4,AGT-32
2023-01-29,TCK-10317,Technical,19.2,1,AGT-30
2023-01-29,TCK-10318,Billing,15.5,5,AGT-47
2023-01-29,TCK-10319,Technical,59.1,4,AGT-42
2023-01-29,TCK-10320,Billing,44.6,1,AGT-43
2023-01-29,TCK-10321,Refunds,45.2,3,AGT-24
2023-01-29,TCK-10322,Refunds,31.0,4,AGT-20
2023-01-29,TCK-10323,Technical,51.7,4,AGT-41
2023-01-29,TCK-10324,Refunds,22.2,3,AGT-49
2023-01-29,TCK-10325,Refunds,69.9,2,AGT-43
2023-01-29,TCK-10326,Refunds,70.7,4,AGT-44
2023-01-29,TCK-10327,Refunds,40.1,2,AGT-31
2023-01-29,TCK-10328,Refunds,52.0,5,AGT-35
2023-01-29,TCK-10329,Billing,53.8,2,AGT-15
2023-01-30,TCK-10330,Billing,41.1,3,AGT-21
2023-01-30,TCK-10331,Account,4.2,4,AGT-13
2023-01-30,TCK-10332,Refunds,26.7,1,AGT-22
2023-01-30,TCK-10333,Billing,58.2,1,AGT-48
2023-01-30,TCK-10334,Account,24.7,5,AGT-32
2023-01-30,TCK-10335,Refunds,40.3,5,AGT-17
2023-01-30,TCK-10336,Refunds,5.9,5,AGT-46
2023-01-30,TCK-10337,Billing,6.4,2,AGT-50
2023-01-30,TCK-10338,Billing,69.7,3,AGT-35
2023-01-30,TCK-10339,Technical,34.1,2,AGT-42
2023-01-30,TCK-10340,Account,19.3,3,AGT-17
2023-01-30,TCK-10341,Technical,20.4,4,AGT-44
2023-01-30,TCK-10342,Refunds,15.4,1,AGT-30
2023-01-31,TCK-10343,Technical,19.4,3,AGT-19
2023-01-31,TCK-10344,Refunds,22.4,3,AGT-27
2023-01-31,TCK-10345,Technical,29.1,1,AGT-12
2023-01-31,TCK-10346,Billing,33.8,5,AGT-29
2023-01-31,TCK-10347,Technical,5.1,2,AGT-30
2023-01-31,TCK-10348,Refunds,53.1,5,AGT-27
2023-01-31,TCK-10349,Technical,16.1,3,AGT-47
2023-01-31,TCK-10350,Billing,36.5,5,AGT-44
2023-01-31,TCK-10351,Billing,38.5,4,AGT-18
2023-01-31,TCK-10352,Account,2.5,5,AGT-48
2023-01-31,TCK-10353,Refunds,48.7,3,AGT-23
2023-01-31,TCK-10354,Billing,36.3,2,AGT-43
2023-01-31,TCK-10355,Account,53.9,4,AGT-14
2023-02-01,TCK-10356,Account,58.1,1,AGT-49
2023-02-01,TCK-10357,Refunds,43.2,4,AGT-15
2023-02-01,TCK-10358,Refunds,43.2,4,AGT-45
2023-02-01,TCK-10359,Refunds,15.4,2,AGT-25
2023-02-01,TCK-10360,Account,40.1,5,AGT-47
2023-02-01,TCK-10361,Billing,33.8,3,AGT-42
2023-02-01,TCK-10362,Technical,3.6,3,AGT-20
2023-02-01,TCK-10363,Refunds,60.5,4,AGT-34
2023-02-01,TCK-10364,Technical,11.2,5,AGT-21
2023-02-01,TCK-10365,Account,22.4,4,AGT-10
2023-02-01,TCK-10366,Billing,43.4,2,AGT-21
2023-02-01,TCK-10367,Account,67.8,2,AGT-12
2023-02-01,TCK-10368,Billing,68.9,4,AGT-16
2023-02-02,TCK-10369,Billing,29.0,2,AGT-14
2023-02-02,TCK-10370,Account,37.8,5,AGT-22
2023-02-02,TCK-10371,Account,46.0,4,AGT-35
2023-02-02,TCK-10372,Refunds,18.7,1,AGT-32
2023-02-02,TCK-10373,Refunds,9.4,3,AGT-22
2023-02-02,TCK-10374,Account,39.0,3,AGT-41
2023-02-02,TCK-10375,Technical,47.1,2,AGT-50
2023-02-02,TCK-10376,Account,33.7,1,AGT-48
2023-02-02,TCK-10377,Technical,51.9,5,AGT-49
2023-02-02,TCK-10378,Account,31.9,3,AGT-16
2023-02-02,TCK-10379,Refunds,70.5,1,AGT-47
2023-02-03,TCK-10380,Refunds,71.4,1,AGT-35
2023-02-03,TCK-10381,Refunds,20.5,4,AGT-21
2023-02-03,TCK-10382,Refunds,18.3,1,AGT-43
2023-02-03,TCK-10383,Billing,17.7,2,AGT-31
2023-02-03,TCK-10384,Account,44.9,5,AGT-21
2023-02-03,TCK-10385,Refunds,45.9,4,AGT-39
2023-02-03,TCK-10386,Refunds,35.1,3,AGT-29
2023-02-03,TCK-10387,Account,70.3,5,AGT-40
2023-02-03,TCK-10388,Account,17.6,1,AGT-46
2023-02-03,TCK-10389,Billing,25.2,2,AGT-21
2023-02-03,TCK-10390,Refunds,30.0,4,AGT-18
2023-02-04,TCK-10391,Technical,25.9,1,AGT-11
2023-02-04,TCK-10392,Technical,50.3,4,AGT-25
2023-02-04,TCK-10393,Account,11.7,5,AGT-15
2023-02-04,TCK-10394,Billing,64.1,4,AGT-23
2023-02-04,TCK-10395,Billing,68.8,1,AGT-48
2023-02-04,TCK-10396,Billing,51.2,4,AGT-29
2023-02-04,TCK-10397,Refunds,1.6,1,AGT-15
2023-02-04,TCK-10398,Technical,53.9,3,AGT-26
2023-02-04,TCK-10399,Account,41.2,1,AGT-45
2023-02-04,TCK-10400,Account,65.0,1,AGT-32
2023-02-04,TCK-10401,Refunds,65.9,4,AGT-14
2023-02-04,TCK-10402,Refunds,6.6,1,AGT-21
2023-02-04,TCK-10403,Refunds,59.1,3,AGT-21
2023-02-04,TCK-10404,Technical,68.8,2,AGT-24
2023-02-05,TCK-10405,Account,70.4,1,AGT-19
2023-02-05,TCK-10406,Account,2.6,2,AGT-21
2023-02-05,TCK-10407,Billing,67.5,2,AGT-30
2023-02-05,TCK-10408,Technical,54.2,3,AGT-24
2023-02-05,TCK-10409,Technical,59.2,1,AGT-32
2023-02-05,TCK-10410,Refunds,0.6,2,AGT-39
2023-02-05,TCK-10411,Refunds,29.2,3,AGT-49
2023-02-05,TCK-10412,Account,68.1,4,AGT-17
2023-02-05,TCK-10413,Refunds,11.1,2,AGT-21
2023-02-05,TCK-10414,Refunds,34.8,2,AGT-18
2023-02-06,TCK-10415,Technical,67.2,2,AGT-40
2023-02-06,TCK-10416,Account,71.6,1,AGT-24
2023-02-06,TCK-10417,Billing,11.5,3,AGT-16
2023-02-06,TCK-10418,Billing,24.7,1,AGT-32
2023-02-06,TCK-10419,Account,23.9,4,AGT-25
2023-02-06,TCK-10420,Account,36.6,2,AGT-18
2023-02-06,TCK-10421,Account,44.7,1,AGT-47
2023-02-06,TCK-10422,Account,41.3,2,AGT-38
2023-02-06,TCK-10423,Billing,39.9,5,AGT-19
2023-02-06,TCK-10424,Refunds,62.1,2,AGT-35
2023-02-06,TCK-10425,Billing,47.5,4,AGT-49
2023-02-06,TCK-10426,Technical,10.8,2,AGT-22
2023-02-07,TCK-10427,Account,56.5,3,AGT-21
2023-02-07,TCK-10428,Billing,41.7,3,AGT-23
2023-02-07,TCK-10429,Technical,18.9,4,AGT-41
2023-02-07,TCK-10430,Billing,48.0,3,AGT-15
2023-02-07,TCK-10431,Account,24.9,1,AGT-46
2023-02-07,TCK-10432,Technical,55.4,3,AGT-47
2023-02-07,TCK-10433,Account,8.6,4,AGT-23
2023-02-07,TCK-10434,Technical,32.8,2,AGT-10
2023-02-07,TCK-10435,Refunds,61.1,1,AGT-20
2023-02-08,TCK-10436,Technical,63.1,4,AGT-50
2023-02-08,TCK-10437,Billing,61.0,1,AGT-11
2023-02-08,TCK-10438,Account,18.5,5,AGT-18
2023-02-08,TCK-10439,Refunds,21.2,1,AGT-13
2023-02-08,TCK-10440,Refunds,24.2,1,AGT-10
2023-02-08,TCK-10441,Account,23.5,2,AGT-31
2023-02-08,TCK-10442,Refunds,32.8,2,AGT-29
2023-02-08,TCK-10443,Technical,8.0,1,AGT-41
2023-02-08,TCK-10444,Account,12.9,1,AGT-45
2023-02-08,TCK-10445,Refunds,65.4,2,AGT-38
2023-02-08,TCK-10446,Billing,60.7,5,AGT-10
2023-02-09,TCK-10447,Billing,61.6,4,AGT-15
2023-02-09,TCK-10448,Billing,10.1,5,AGT-37
2023-02-09,TCK-10449,Account,4.8,1,AGT-39
2023-02-09,TCK-10450,Refunds,22.3,2,AGT-22
2023-02-09,TCK-10451,Billing,18.7,3,AGT-11
2023-02-09,TCK-10452,Technical,44.1,1,AGT-34
2023-02-09,TCK-10453,Billing,40.6,1,AGT-38
2023-02-09,TCK-10454,Refunds,14.8,2,AGT-13
2023-02-09,TCK-10455,Technical,12.1,2,AGT-26
2023-02-09,TCK-10456,Technical,25.0,3,AGT-43
2023-02-09,TCK-10457,Billing,53.9,4,AGT-20
2023-02-09,TCK-10458,Billing,51.3,2,AGT-29
2023-02-09,TCK-10459,Billing,53.4,1,AGT-10
2023-02-10,TCK-10460,Account,39.1,4,AGT-22
2023-02-10,TCK-10461,Billing,39.5,2,AGT-45
2023-02-10,TCK-10462,Technical,39.8,5,AGT-44
2023-02-10,TCK-10463,Billing,0.8,4,AGT-22
