date,shipment_id,origin,destination,weight_kg,cost_usd,transit_time_days,is_delayed
2022-01-07,SHP-100043,Seattle,LA,549.77,932.51,7,0
2022-01-07,SHP-100044,Chicago,LA,3466.36,3398.96,19,0
2022-01-07,SHP-100045,Seattle,Chicago,3873.6,6215.4,8,0
2022-01-07,SHP-100046,Miami,Houston,3655.89,3906.0,2,0
2022-01-08,SHP-100047,Houston,Seattle,879.06,1316.73,9,0
2022-01-08,SHP-100048,NY,Miami,101.58,115.67,13,0
2022-01-08,SHP-100049,Houston,Seattle,4540.14,7016.22,11,0
2022-01-08,SHP-100050,Seattle,Chicago,2092.35,4992.41,6,0
2022-01-08,SHP-100051,Houston,Seattle,2934.04,3645.15,7,0
2022-01-08,SHP-100052,NY,Houston,2058.39,4010.12,3,0
2022-01-08,SHP-100053,LA,Miami,3450.43,3860.59,7,0
2022-01-09,SHP-100054,NY,Chicago,3025.77,2201.15,4,1
2022-01-09,SHP-100055,Seattle,Miami,4358.24,9168.59,3,0
2022-01-09,SHP-100056,Chicago,Miami,1779.86,2387.96,21,0
2022-01-09,SHP-100057,Seattle,Houston,200.93,368.26,9,0
2022-01-09,SHP-100058,Seattle,Chicago,1898.55,3649.64,9,1
2022-01-09,SHP-100059,Houston,Miami,3642.26,2565.72,3,0
2022-01-10,SHP-100060,Houston,LA,4749.81,11050.33,8,0
2022-01-10,SHP-100061,Houston,Seattle,2316.76,3393.96,3,0
2022-01-10,SHP-100062,Houston,NY,4466.04,3718.25,5,0
2022-01-10,SHP-100063,Chicago,Seattle,4215.86,10097.6,19,1
2022-01-10,SHP-100064,NY,LA,1392.11,3373.96,10,0
2022-01-10,SHP-100065,Houston,Seattle,2604.51,5909.78,5,0
2022-01-10,SHP-100066,Chicago,Houston,3008.0,3170.1,18,1
2022-01-11,SHP-100067,NY,LA,24.63,20.28,7,0
2022-01-11,SHP-100068,Houston,Miami,1698.24,2665.74,3,0
2022-01-11,SHP-100069,Miami,Houston,4702.01,11731.91,3,0
2022-01-11,SHP-100070,Chicago,Miami,370.29,362.51,13,1
2022-01-11,SHP-100071,NY,Miami,1651.14,2504.58,2,0
2022-01-11,SHP-100072,Houston,Miami,4376.56,7285.73,8,0
2022-01-11,SHP-100073,LA,NY,4167.88,8536.27,12,0
2022-01-12,SHP-100074,LA,NY,2552.01,1931.45,4,0
2022-01-12,SHP-100075,Seattle,NY,2479.42,1930.98,13,0
2022-01-12,SHP-100076,Seattle,LA,2453.37,2579.35,11,0
2022-01-12,SHP-100077,Seattle,Chicago,4896.6,7027.58,11,0
2022-01-12,SHP-100078,Houston,Miami,3878.59,8104.46,3,0
2022-01-12,SHP-100079,NY,Chicago,3468.58,6253.69,4,0
2022-01-12,SHP-100080,Miami,Chicago,4220.81,7485.62,9,0
2022-01-13,SHP-100081,Chicago,Houston,3103.83,4849.41,22,1
2022-01-13,SHP-100082,NY,LA,2016.55,3970.39,11,0
2022-01-13,SHP-100083,Miami,Chicago,1495.83,1107.21,4,0
2022-01-13,SHP-100084,Houston,Miami,2653.58,5950.75,10,0
2022-01-13,SHP-100085,Chicago,Miami,550.74,546.4,8,1
2022-01-13,SHP-100086,Houston,NY,939.02,1569.81,1,0
2022-01-13,SHP-100087,Chicago,Miami,2885.12,4990.05,8,1
2022-01-13,SHP-100088,Chicago,LA,4114.21,9752.4,20,0
2022-01-13,SHP-100089,Seattle,LA,2341.82,4663.42,9,0
2022-01-14,SHP-100090,Seattle,Chicago,4321.29,5914.58,13,0
2022-01-14,SHP-100091,LA,NY,2737.14,1946.33,14,1
2022-01-14,SHP-100092,NY,Chicago,3201.28,4838.62,9,0
2022-01-14,SHP-100093,Seattle,LA,4603.56,5577.46,2,0
2022-01-14,SHP-100094,Seattle,LA,3190.4,7669.31,11,0
2022-01-14,SHP-100095,Chicago,NY,2573.54,4284.8,10,1
2022-01-14,SHP-100096,Seattle,LA,4216.63,6018.89,3,0
2022-01-14,SHP-100097,Miami,LA,1012.39,1835.27,5,0
2022-01-14,SHP-100098,Chicago,LA,3590.42,6896.49,8,0
2022-01-15,SHP-100099,NY,Seattle,187.04,316.22,11,0
2022-01-15,SHP-100100,NY,LA,3642.22,8233.38,6,0
2022-01-15,SHP-100101,LA,Houston,168.41,293.77,14,0
2022-01-15,SHP-100102,Houston,Seattle,4920.77,4645.9,3,0
2022-01-15,SHP-100103,Miami,Seattle,2867.56,1761.29,8,0
2022-01-15,SHP-100104,Miami,NY,2060.74,1323.26,10,0
2022-01-16,SHP-100105,Seattle,Miami,4440.26,5767.67,9,0
2022-01-16,SHP-100106,NY,Miami,2869.67,5283.3,7,0
2022-01-16,SHP-100107,Miami,Seattle,583.57,722.28,13,0
2022-01-16,SHP-100108,NY,Chicago,2941.24,5933.46,11,0
2022-01-16,SHP-100109,Houston,NY,4304.25,7548.97,6,0
2022-01-16,SHP-100110,Houston,NY,2314.38,1877.97,9,0
2022-01-16,SHP-100111,Chicago,LA,3536.63,4929.81,13,1
2022-01-16,SHP-100112,Houston,NY,3137.47,4932.17,1,0
2022-01-17,SHP-100113,Seattle,NY,4592.29,5814.18,7,0
2022-01-17,SHP-100114,Seattle,Miami,3438.25,7702.23,13,1
2022-01-17,SHP-100115,Miami,Seattle,2519.61,4899.56,5,0
2022-01-17,SHP-100116,NY,Chicago,2758.79,2887.51,11,0
2022-01-17,SHP-100117,Chicago,LA,528.53,1001.36,19,1
2022-01-17,SHP-100118,Chicago,Houston,1578.53,3418.55,21,0
2022-01-18,SHP-100119,LA,NY,4522.17,9682.49,4,0
2022-01-18,SHP-100120,Houston,Chicago,4727.88,3285.48,5,0
2022-01-18,SHP-100121,Chicago,NY,4264.01,6285.83,17,1
2022-01-18,SHP-100122,Miami,LA,1693.92,1508.14,6,0
2022-01-18,SHP-100123,LA,NY,4238.03,2905.42,10,0
2022-01-18,SHP-100124,Miami,Seattle,4745.45,5857.54,13,0
2022-01-18,SHP-100125,Seattle,Miami,4425.82,8995.27,2,0
2022-01-18,SHP-100126,Seattle,Chicago,412.75,502.89,14,0
2022-01-19,SHP-100127,Seattle,Chicago,4930.79,6708.41,6,0
2022-01-19,SHP-100128,NY,Chicago,523.79,568.99,9,0
2022-01-19,SHP-100129,Houston,NY,115.02,257.77,7,0
2022-01-19,SHP-100130,Houston,Chicago,4708.69,2406.12,10,0
2022-01-19,SHP-100131,Miami,LA,2386.65,4279.15,11,0
2022-01-19,SHP-100132,NY,LA,3125.83,5169.49,8,0
2022-01-20,SHP-100133,NY,Chicago,3393.02,6220.68,5,0
2022-01-20,SHP-100134,Chicago,Miami,2218.85,5209.61,10,1
2022-01-20,SHP-100135,Houston,Miami,3726.87,2276.98,3,0
2022-01-20,SHP-100136,Chicago,NY,1075.82,1638.33,14,1
2022-01-20,SHP-100137,LA,Houston,3753.81,5354.19,14,0
2022-01-20,SHP-100138,Miami,Chicago,59.44,111.46,9,0
2022-01-21,SHP-100139,Miami,NY,2062.98,4621.74,13,0
2022-01-21,SHP-100140,LA,Chicago,3319.93,4067.37,13,0
2022-01-21,SHP-100141,Houston,Chicago,185.6,398.05,4,0
2022-01-21,SHP-100142,NY,Chicago,2448.7,4140.51,9,0
2022-01-21,SHP-100143,NY,Miami,3879.09,7396.19,4,1
2022-01-21,SHP-100144,NY,LA,2945.06,3259.6,13,0
2022-01-21,SHP-100145,LA,Seattle,2420.59,3710.06,12,0
2022-01-21,SHP-100146,Miami,Seattle,312.53,755.81,1,0
2022-01-22,SHP-100147,Chicago,Seattle,680.42,1432.25,10,1
2022-01-22,SHP-100148,Miami,Seattle,3189.68,3430.22,14,0
2022-01-22,SHP-100149,Chicago,Houston,4860.64,6603.99,14,1
2022-01-22,SHP-100150,LA,Seattle,126.18,73.82,13,0
2022-01-22,SHP-100151,Chicago,NY,154.72,250.97,19,1
2022-01-22,SHP-100152,Seattle,NY,734.37,1073.12,14,0
2022-01-22,SHP-100153,NY,LA,1888.76,4450.2,3,0
2022-01-23,SHP-100154,LA,Chicago,2019.95,2174.82,12,0
2022-01-23,SHP-100155,Chicago,NY,1634.69,2765.7,10,0
2022-01-23,SHP-100156,NY,Houston,1490.07,3367.93,9,0
2022-01-23,SHP-100157,NY,Houston,2474.86,2799.96,3,0
2022-01-23,SHP-100158,Houston,NY,2707.26,3472.0,7,0
2022-01-24,SHP-100159,Miami,Houston,1976.39,2711.0,3,0
2022-01-24,SHP-100160,Seattle,NY,2023.88,3773.08,2,1
2022-01-24,SHP-100161,LA,Seattle,3866.4,6585.4,4,0
2022-01-24,SHP-100162,Chicago,Houston,2810.81,2194.26,17,1
2022-01-24,SHP-100163,LA,Chicago,701.67,1447.59,5,0
2022-01-24,SHP-100164,Chicago,Miami,3142.76,4054.26,18,1
2022-01-25,SHP-100165,NY,Miami,1492.77,3500.34,2,0
2022-01-25,SHP-100166,NY,LA,3872.63,7897.52,5,0
2022-01-25,SHP-100167,NY,Chicago,1658.3,2662.15,8,0
2022-01-25,SHP-100168,NY,Seattle,2519.35,1830.59,3,0
2022-01-25,SHP-100169,Houston,LA,1727.25,2161.07,7,1
2022-01-26,SHP-100170,Chicago,Miami,4009.23,6839.63,12,1
2022-01-26,SHP-100171,Miami,LA,4240.09,10070.61,13,0
2022-01-26,SHP-100172,Seattle,Houston,4971.69,5351.97,7,0
2022-01-26,SHP-100173,LA,Seattle,527.32,443.94,11,0
2022-01-26,SHP-100174,Houston,Seattle,310.99,398.33,11,0
2022-01-26,SHP-100175,Miami,NY,4723.14,8440.85,12,0
2022-01-26,SHP-100176,Houston,Chicago,4457.01,3961.9,3,0
2022-01-26,SHP-100177,Seattle,LA,2809.75,2649.18,3,0
2022-01-27,SHP-100178,Houston,NY,4141.3,8355.14,6,0
2022-01-27,SHP-100179,LA,NY,3087.8,1879.03,14,0
2022-01-27,SHP-100180,Miami,NY,3619.31,2113.63,10,0
2022-01-27,SHP-100181,Chicago,NY,1616.92,3485.55,21,0
2022-01-27,SHP-100182,Miami,Seattle,1518.0,2308.94,14,0
2022-01-27,SHP-100183,NY,Seattle,4643.46,4159.71,14,0
2022-01-28,SHP-100184,Houston,Seattle,4621.85,3200.0,10,0
2022-01-28,SHP-100185,Chicago,NY,3086.35,2634.42,20,0
2022-01-28,SHP-100186,Houston,LA,1627.45,1808.58,9,0
2022-01-28,SHP-100187,LA,Chicago,364.77,705.92,12,0
2022-01-28,SHP-100188,Seattle,Houston,3510.63,8454.84,3,0
2022-01-28,SHP-100189,Houston,LA,1210.39,2998.48,13,0
2022-01-29,SHP-100190,Seattle,NY,3893.29,2743.65,11,0
2022-01-29,SHP-100191,Houston,Chicago,724.88,431.07,2,0
2022-01-29,SHP-100192,Seattle,Chicago,1855.11,2123.65,12,0
2022-01-29,SHP-100193,NY,LA,4749.28,4838.43,10,0
2022-01-29,SHP-100194,LA,Chicago,820.49,722.63,11,0
2022-01-29,SHP-100195,Houston,NY,2495.45,3932.4,4,0
2022-01-29,SHP-100196,LA,Seattle,4798.6,3789.25,5,0
2022-01-30,SHP-100197,Miami,Seattle,926.9,622.58,7,0
2022-01-30,SHP-100198,Houston,LA,1444.24,2176.89,7,0
2022-01-30,SHP-100199,Seattle,Miami,4405.96,3805.48,4,0
2022-01-30,SHP-100200,LA,Chicago,4445.57,9144.33,6,0
2022-01-30,SHP-100201,Chicago,Seattle,47.18,81.56,14,1
2022-01-30,SHP-100202,Miami,Houston,1529.1,1925.84,5,0
2022-01-31,SHP-100203,Houston,NY,2461.26,5963.82,7,0
2022-01-31,SHP-100204,LA,Chicago,1563.68,1691.11,13,0
2022-01-31,SHP-100205,LA,Seattle,1413.93,838.65,12,0
2022-01-31,SHP-100206,LA,Houston,1510.21,2358.45,1,0
2022-01-31,SHP-100207,Miami,Chicago,2682.72,2719.69,6,0
2022-02-01,SHP-100208,Miami,Seattle,4634.56,6095.24,1,0
2022-02-01,SHP-100209,Seattle,NY,4616.86,11496.91,3,0
2022-02-01,SHP-100210,Miami,LA,328.29,600.52,6,0
2022-02-01,SHP-100211,Houston,NY,4474.71,9988.72,4,0
2022-02-01,SHP-100212,Houston,Miami,3216.73,2861.26,11,0
2022-02-01,SHP-100213,Seattle,Houston,3722.22,4956.97,6,0
2022-02-01,SHP-100214,Seattle,LA,1198.59,1584.25,5,0
2022-02-02,SHP-100215,Miami,Houston,2734.01,4904.73,3,0
2022-02-02,SHP-100216,Houston,NY,305.92,452.91,10,0
2022-02-02,SHP-100217,Houston,LA,2504.77,1394.63,11,0
2022-02-02,SHP-100218,Seattle,Miami,475.73,565.14,8,0
2022-02-02,SHP-100219,Houston,NY,3429.89,2378.44,12,0
2022-02-03,SHP-100220,Seattle,Houston,3157.72,1640.68,13,0
2022-02-03,SHP-100221,Seattle,Miami,569.85,652.29,11,0
2022-02-03,SHP-100222,NY,Houston,2400.42,1972.17,14,1
2022-02-03,SHP-100223,NY,Miami,3916.29,8089.18,2,0
2022-02-03,SHP-100224,NY,Seattle,1402.85,3222.75,11,0
2022-02-03,SHP-100225,Seattle,NY,1946.71,1370.47,8,0
2022-02-04,SHP-100226,NY,LA,1601.34,1109.36,5,0
2022-02-04,SHP-100227,Miami,Chicago,2453.84,4056.83,10,1
2022-02-04,SHP-100228,Miami,Houston,4399.17,4672.4,6,0
2022-02-04,SHP-100229,Houston,Miami,2464.49,3085.18,4,0
2022-02-04,SHP-100230,Houston,Seattle,4725.57,5428.98,7,0
2022-02-04,SHP-100231,Houston,LA,3955.03,5115.89,3,0
2022-02-04,SHP-100232,Seattle,Houston,1179.41,2208.9,10,0
2022-02-04,SHP-100233,Houston,LA,4427.99,3689.11,6,0
2022-02-05,SHP-100234,LA,Seattle,335.06,369.16,4,0
2022-02-05,SHP-100235,NY,Chicago,3508.67,4154.99,10,0
2022-02-05,SHP-100236,LA,NY,1614.33,1467.75,8,1
2022-02-05,SHP-100237,Chicago,Houston,992.72,1411.17,19,0
2022-02-05,SHP-100238,Miami,LA,3420.13,6757.66,7,0
2022-02-05,SHP-100239,Miami,LA,2745.21,5544.36,3,0
2022-02-06,SHP-100240,Seattle,Chicago,2345.89,3001.27,1,0
2022-02-06,SHP-100241,Houston,NY,1307.73,2986.65,2,0
2022-02-06,SHP-100242,Houston,Chicago,2275.61,5246.36,14,0
2022-02-06,SHP-100243,Houston,Miami,4442.23,9647.03,8,0
2022-02-06,SHP-100244,Chicago,LA,4791.78,10748.49,10,1
2022-02-06,SHP-100245,NY,Chicago,418.6,835.83,3,0
2022-02-06,SHP-100246,LA,NY,4522.36,6626.98,2,0
2022-02-06,SHP-100247,Miami,Chicago,977.47,654.5,6,0
2022-02-07,SHP-100248,LA,Miami,40.83,58.41,8,0
2022-02-07,SHP-100249,Houston,LA,89.87,92.85,7,0
2022-02-07,SHP-100250,Seattle,NY,4536.46,7647.71,4,0
2022-02-07,SHP-100251,Seattle,LA,4740.32,6716.01,10,0
2022-02-07,SHP-100252,Chicago,Miami,199.03,491.34,13,1
2022-02-07,SHP-100253,NY,Seattle,1146.74,2263.28,5,0
2022-02-07,SHP-100254,Miami,Chicago,4470.59,6244.48,1,0
2022-02-08,SHP-100255,LA,Miami,1063.21,1934.92,2,0
2022-02-08,SHP-100256,NY,Seattle,171.24,115.87,13,0
2022-02-08,SHP-100257,NY,Houston,2707.43,5511.74,1,0
2022-02-08,SHP-100258,Chicago,LA,3534.56,5051.29,16,1
2022-02-08,SHP-100259,Seattle,Chicago,184.1,305.04,7,0
2022-02-09,SHP-100260,NY,Houston,2444.0,3928.56,6,0
2022-02-09,SHP-100261,Chicago,Houston,4952.57,4496.34,10,1
2022-02-09,SHP-100262,Seattle,NY,2962.53,1501.99,11,0
2022-02-09,SHP-100263,LA,NY,1634.17,2411.25,12,0
2022-02-09,SHP-100264,LA,Miami,1661.29,3211.07,4,0
2022-02-09,SHP-100265,Seattle,Houston,309.54,643.94,8,0
2022-02-10,SHP-100266,Seattle,Chicago,712.31,1570.25,4,0
2022-02-10,SHP-100267,Chicago,Houston,4581.06,8574.2,15,1
2022-02-10,SHP-100268,Houston,Chicago,910.86,736.61,3,0
2022-02-10,SHP-100269,LA,NY,1856.1,3559.32,14,0
2022-02-10,SHP-100270,LA,Houston,985.97,1370.23,14,0
2022-02-11,SHP-100271,Houston,Miami,1355.15,723.16,3,0
2022-02-11,SHP-100272,NY,Chicago,3582.87,3764.17,6,0
2022-02-11,SHP-100273,Miami,Chicago,828.29,761.14,12,0
2022-02-11,SHP-100274,NY,Seattle,1492.08,3450.31,4,0
2022-02-11,SHP-100275,Chicago,LA,4333.23,3788.41,16,0
2022-02-11,SHP-100276,LA,NY,4961.62,12403.28,8,0
2022-02-12,SHP-100277,Chicago,Miami,4758.37,2499.25,23,1
2022-02-12,SHP-100278,Chicago,Houston,535.24,1196.63,19,1
2022-02-12,SHP-100279,LA,Seattle,3116.46,5416.06,14,0
2022-02-12,SHP-100280,NY,Houston,4908.53,5193.33,10,0
2022-02-12,SHP-100281,Chicago,LA,1510.27,1322.77,7,1
2022-02-12,SHP-100282,LA,Seattle,1873.39,3294.33,11,0
2022-02-13,SHP-100283,Chicago,Houston,4104.54,7017.32,14,1
2022-02-13,SHP-100284,Chicago,Miami,901.86,1895.03,13,1
2022-02-13,SHP-100285,Houston,NY,888.93,683.76,4,0
2022-02-13,SHP-100286,NY,Miami,2723.18,2088.52,9,0
2022-02-13,SHP-100287,Miami,Seattle,4550.78,4515.73,14,0
2022-02-14,SHP-100288,Chicago,Miami,2263.01,1920.57,21,1
2022-02-14,SHP-100289,NY,Miami,2229.95,3516.04,6,0
2022-02-14,SHP-100290,Seattle,Miami,1384.94,3209.01,13,0
2022-02-14,SHP-100291,Miami,NY,3380.65,4147.83,2,1
2022-02-14,SHP-100292,Chicago,LA,2370.16,2741.07,6,0
2022-02-14,SHP-100293,NY,Miami,1223.08,1138.23,8,0
2022-02-14,SHP-100294,Chicago,NY,2689.68,6102.85,22,1
2022-02-15,SHP-100295,Chicago,LA,391.06,728.03,19,1
2022-02-15,SHP-100296,Houston,Miami,3362.17,6482.83,10,0
2022-02-15,SHP-100297,Miami,Seattle,3761.78,6214.82,11,0
2022-02-15,SHP-100298,NY,Houston,2110.9,2687.84,14,0
2022-02-15,SHP-100299,Houston,Seattle,2323.44,5230.98,4,0
2022-02-15,SHP-100300,LA,NY,1760.49,4225.81,11,0
2022-02-15,SHP-100301,Chicago,Houston,1549.33,1986.69,18,1
2022-02-15,SHP-100302,NY,Houston,4719.98,6024.18,10,0
2022-02-15,SHP-100303,Houston,LA,4134.61,7121.16,1,1
2022-02-15,SHP-100304,Miami,Seattle,1500.77,1476.96,8,0
2022-02-16,SHP-100305,NY,Miami,1586.32,3825.98,3,0
2022-02-16,SHP-100306,NY,Seattle,1444.61,1659.53,10,0
2022-02-16,SHP-100307,LA,NY,4548.32,7231.66,2,0
2022-02-16,SHP-100308,Miami,Seattle,205.1,378.47,8,0
2022-02-16,SHP-100309,NY,Houston,4285.1,6090.08,13,0
2022-02-16,SHP-100310,Seattle,Houston,3658.4,6238.66,11,0
2022-02-17,SHP-100311,Seattle,Houston,4147.63,5264.98,4,0
2022-02-17,SHP-100312,LA,Chicago,55.8,86.95,3,0
2022-02-17,SHP-100313,Houston,NY,3621.22,6828.81,3,0
2022-02-17,SHP-100314,LA,Seattle,3232.54,6904.59,8,0
2022-02-17,SHP-100315,LA,Houston,1616.9,3242.15,8,0
2022-02-17,SHP-100316,Houston,LA,2679.45,3787.11,8,1
2022-02-18,SHP-100317,LA,Seattle,4672.52,7281.75,12,1
2022-02-18,SHP-100318,Miami,Chicago,2097.81,1804.55,9,0
2022-02-18,SHP-100319,Chicago,Miami,4279.12,9610.18,11,0
2022-02-18,SHP-100320,Miami,Chicago,664.86,1341.9,10,0
2022-02-18,SHP-100321,Houston,Seattle,2992.35,3396.05,10,0
2022-02-18,SHP-100322,Houston,Chicago,3274.84,3674.75,13,0
2022-02-19,SHP-100323,NY,Seattle,2851.71,5852.53,4,0
2022-02-19,SHP-100324,Seattle,Chicago,4194.39,9567.57,11,0
2022-02-19,SHP-100325,Seattle,LA,2216.24,3295.48,9,0
2022-02-19,SHP-100326,Chicago,Miami,2411.81,4282.87,10,0
2022-02-19,SHP-100327,NY,Houston,4416.84,9965.26,10,0
2022-02-19,SHP-100328,LA,Miami,59.35,147.76,7,1
2022-02-19,SHP-100329,NY,LA,4293.37,9877.29,13,0
2022-02-20,SHP-100330,Seattle,NY,1734.01,3218.41,3,0
2022-02-20,SHP-100331,Miami,NY,573.46,383.78,3,0
2022-02-20,SHP-100332,Seattle,Houston,1733.82,4169.73,1,0
2022-02-20,SHP-100333,Miami,Chicago,1588.67,3655.5,9,0
2022-02-20,SHP-100334,LA,Seattle,2644.71,5746.81,4,0
2022-02-20,SHP-100335,Seattle,Miami,4742.59,10497.46,11,0
2022-02-20,SHP-100336,LA,Seattle,3876.09,3665.64,8,0
2022-02-21,SHP-100337,NY,Miami,2912.85,6895.22,2,0
2022-02-21,SHP-100338,LA,Chicago,3052.41,6744.76,7,0
2022-02-21,SHP-100339,Miami,Houston,871.51,1351.61,14,0
2022-02-21,SHP-100340,LA,Miami,588.75,1353.1,1,0
2022-02-21,SHP-100341,Houston,Chicago,3328.17,3324.54,3,0
2022-02-21,SHP-100342,Miami,LA,4743.74,9555.47,10,0
2022-02-22,SHP-100343,NY,Miami,4434.37,2886.69,13,0
2022-02-22,SHP-100344,Houston,Chicago,3533.59,7745.25,3,0
2022-02-22,SHP-100345,Houston,NY,187.3,178.37,1,0
2022-02-22,SHP-100346,NY,Seattle,1890.2,3640.4,6,0
2022-02-22,SHP-100347,NY,LA,2241.69,3442.72,3,0
2022-02-22,SHP-100348,Miami,NY,2679.21,4795.85,5,0
2022-02-22,SHP-100349,LA,Chicago,2537.88,3017.4,14,0
2022-02-23,SHP-100350,Miami,Seattle,1671.02,4117.09,4,0
2022-02-23,SHP-100351,Miami,Chicago,2787.25,1511.34,11,1
2022-02-23,SHP-100352,LA,Miami,2432.63,4997.68,8,0
2022-02-23,SHP-100353,LA,NY,1778.23,2864.14,7,0
2022-02-23,SHP-100354,Seattle,Houston,1221.95,2151.4,11,0
2022-02-23,SHP-100355,Houston,Miami,1078.99,604.3,10,0
2022-02-23,SHP-100356,Chicago,Miami,4116.37,5279.25,17,0
2022-02-24,SHP-100357,NY,Miami,4074.07,9233.03,10,0
2022-02-24,SHP-100358,Miami,Chicago,3116.05,1853.52,5,0
2022-02-24,SHP-100359,Seattle,Houston,986.1,2218.76,8,0
2022-02-24,SHP-100360,LA,Chicago,4085.99,2736.82,12,0
2022-02-24,SHP-100361,Seattle,NY,3446.98,4447.24,5,0
2022-02-24,SHP-100362,Seattle,Houston,2300.32,3325.52,10,0
2022-02-24,SHP-100363,Seattle,Houston,803.4,1012.28,3,0
2022-02-24,SHP-100364,LA,Miami,2386.1,4066.66,7,0
2022-02-25,SHP-100365,Houston,Seattle,2717.04,1738.9,9,0
2022-02-25,SHP-100366,Houston,Seattle,1021.25,705.78,14,0
2022-02-25,SHP-100367,Houston,NY,3254.54,2612.39,3,0
2022-02-25,SHP-100368,Seattle,Chicago,4312.71,3492.61,11,1
2022-02-25,SHP-100369,Seattle,LA,1878.61,942.84,5,0
2022-02-26,SHP-100370,Houston,Seattle,4529.07,5109.39,6,0
2022-02-26,SHP-100371,NY,Chicago,2434.46,4066.71,5,0
2022-02-26,SHP-100372,LA,NY,3952.67,2858.8,3,0
2022-02-26,SHP-100373,Chicago,Seattle,248.81,604.67,15,1
2022-02-26,SHP-100374,Chicago,LA,1456.6,1463.0,13,0
2022-02-26,SHP-100375,NY,Houston,2349.87,1580.53,1,1
2022-02-26,SHP-100376,Houston,Miami,3085.97,6273.89,3,0
2022-02-27,SHP-100377,Miami,LA,2705.44,6376.35,13,0
2022-02-27,SHP-100378,Houston,Miami,184.48,290.95,11,0
2022-02-27,SHP-100379,Houston,Chicago,4315.98,7413.08,10,0
2022-02-27,SHP-100380,LA,Seattle,395.1,264.56,10,0
2022-02-27,SHP-100381,LA,Chicago,54.27,124.29,7,0
2022-02-27,SHP-100382,Miami,NY,4580.82,11385.48,6,0
2022-02-28,SHP-100383,NY,Miami,2696.33,6563.8,13,0
2022-02-28,SHP-100384,Houston,Chicago,4261.57,2993.15,13,0
2022-02-28,SHP-100385,LA,Seattle,2898.31,6691.29,2,0
2022-02-28,SHP-100386,NY,Houston,3056.52,4503.65,12,0
2022-02-28,SHP-100387,NY,LA,2691.28,5242.09,9,0
2022-02-28,SHP-100388,Houston,Miami,1662.71,2169.93,14,0
2022-03-01,SHP-100389,Miami,NY,1452.65,3228.87,8,0
