date,campaign_id,platform,ad_spend,impressions,clicks,conversions,cost_per_acquisition
2022-06-05,CAMP-1051,LinkedIn,3214.7,80650,3443,154,20.87
2022-06-06,CAMP-1052,Facebook,1311.42,67460,1576,108,12.14
2022-06-06,CAMP-1053,Google Ads,1135.88,40587,991,78,14.56
2022-06-06,CAMP-1054,Facebook,4047.04,389248,8708,490,8.26
2022-06-06,CAMP-1055,Google Ads,4475.39,277586,11120,417,10.73
2022-06-06,CAMP-1056,LinkedIn,3001.34,69884,3469,126,23.82
2022-06-06,CAMP-1057,Google Ads,1668.73,121292,1824,38,43.91
2022-06-06,CAMP-1058,Google Ads,2179.15,195095,4284,308,7.08
2022-06-06,CAMP-1059,LinkedIn,2233.06,109490,2143,203,11.0
2022-06-06,CAMP-1060,Google Ads,660.64,9455,325,8,82.58
2022-06-06,CAMP-1061,TikTok,721.3,23809,552,31,23.27
2022-06-06,CAMP-1062,TikTok,1948.4,132258,3347,69,28.24
2022-06-06,CAMP-1063,LinkedIn,1640.73,70110,891,37,44.34
2022-06-06,CAMP-1064,Google Ads,3017.13,143895,5466,360,8.38
2022-06-06,CAMP-1065,LinkedIn,666.71,21037,624,36,18.52
2022-06-07,CAMP-1066,TikTok,1369.61,74240,3301,323,4.24
2022-06-07,CAMP-1067,TikTok,3572.76,337437,13946,1204,2.97
2022-06-07,CAMP-1068,TikTok,3068.55,126753,1890,116,26.45
2022-06-07,CAMP-1069,Google Ads,2442.12,158074,2576,136,17.96
2022-06-07,CAMP-1070,TikTok,4422.18,76052,783,69,64.09
2022-06-07,CAMP-1071,TikTok,4915.56,114686,5002,330,14.9
2022-06-07,CAMP-1072,LinkedIn,108.55,5413,74,2,54.27
2022-06-07,CAMP-1073,Google Ads,4232.44,177392,2736,208,20.35
2022-06-07,CAMP-1074,Google Ads,713.82,9530,152,9,79.31
2022-06-08,CAMP-1075,TikTok,1533.79,34342,1450,39,39.33
2022-06-08,CAMP-1076,Facebook,1506.23,113707,3259,144,10.46
2022-06-08,CAMP-1077,Facebook,2178.53,97457,3755,209,10.42
2022-06-08,CAMP-1078,Google Ads,3956.96,309359,5791,393,10.07
2022-06-08,CAMP-1079,TikTok,2207.24,161147,7701,431,5.12
2022-06-08,CAMP-1080,TikTok,1325.62,86984,2250,143,9.27
2022-06-08,CAMP-1081,LinkedIn,550.12,10255,298,19,28.95
2022-06-08,CAMP-1082,LinkedIn,1098.17,16112,283,25,43.93
2022-06-08,CAMP-1083,LinkedIn,2409.94,159788,6870,577,4.18
2022-06-08,CAMP-1084,TikTok,2810.75,252151,10704,700,4.02
2022-06-09,CAMP-1085,TikTok,729.01,59531,2747,188,3.88
2022-06-09,CAMP-1086,LinkedIn,633.96,20049,215,17,37.29
2022-06-09,CAMP-1087,TikTok,1023.27,14235,653,45,22.74
2022-06-09,CAMP-1088,Google Ads,2155.41,183254,2016,113,19.07
2022-06-09,CAMP-1089,LinkedIn,453.8,19877,510,18,25.21
2022-06-09,CAMP-1090,Facebook,294.26,18244,324,14,21.02
2022-06-09,CAMP-1091,Google Ads,3965.31,218111,4115,390,10.17
2022-06-09,CAMP-1092,LinkedIn,3346.6,310357,9074,232,14.42
2022-06-09,CAMP-1093,TikTok,706.25,11774,516,26,27.16
2022-06-09,CAMP-1094,Google Ads,3927.93,67140,1629,132,29.76
2022-06-10,CAMP-1095,TikTok,4182.03,254665,11686,457,9.15
2022-06-10,CAMP-1096,Google Ads,2702.86,223505,2597,165,16.38
2022-06-10,CAMP-1097,Google Ads,2175.02,74647,2745,107,20.33
2022-06-10,CAMP-1098,LinkedIn,2637.54,139706,5535,292,9.03
2022-06-10,CAMP-1099,LinkedIn,3900.52,53418,863,74,52.71
2022-06-10,CAMP-1100,Google Ads,2514.05,143265,6369,566,4.44
2022-06-10,CAMP-1101,Google Ads,1775.06,97239,1559,34,52.21
2022-06-10,CAMP-1102,Google Ads,4089.47,101696,1091,103,39.7
2022-06-10,CAMP-1103,Google Ads,2640.32,261496,4755,198,13.33
2022-06-10,CAMP-1104,Google Ads,3755.96,166998,3695,280,13.41
2022-06-10,CAMP-1105,Facebook,1222.67,44332,1679,94,13.01
2022-06-11,CAMP-1106,LinkedIn,2194.11,71606,2542,99,22.16
2022-06-11,CAMP-1107,Google Ads,1010.55,86543,2676,136,7.43
2022-06-11,CAMP-1108,LinkedIn,356.28,10200,504,34,10.48
2022-06-11,CAMP-1109,TikTok,4436.94,436646,12984,457,9.71
2022-06-11,CAMP-1110,TikTok,3832.16,56607,2182,159,24.1
2022-06-11,CAMP-1111,TikTok,3603.87,278683,5005,364,9.9
2022-06-11,CAMP-1112,Facebook,3644.02,72145,826,69,52.81
2022-06-12,CAMP-1113,Facebook,967.92,49905,1210,28,34.57
2022-06-12,CAMP-1114,LinkedIn,2168.34,26059,1298,95,22.82
2022-06-12,CAMP-1115,Facebook,3373.06,276318,6827,323,10.44
2022-06-12,CAMP-1116,TikTok,2744.33,184894,9172,857,3.2
2022-06-12,CAMP-1117,LinkedIn,3003.66,203634,2214,113,26.58
2022-06-12,CAMP-1118,LinkedIn,1809.22,52431,1531,109,16.6
2022-06-12,CAMP-1119,LinkedIn,3591.65,168564,4776,215,16.71
2022-06-12,CAMP-1120,LinkedIn,2375.0,225294,3026,210,11.31
2022-06-12,CAMP-1121,Google Ads,1134.53,15696,265,23,49.33
2022-06-12,CAMP-1122,Facebook,3669.5,67470,2957,116,31.63
2022-06-13,CAMP-1123,TikTok,4538.01,290925,11408,1091,4.16
2022-06-13,CAMP-1124,LinkedIn,4076.75,152913,5999,255,15.99
2022-06-13,CAMP-1125,LinkedIn,4480.36,313211,8658,860,5.21
2022-06-13,CAMP-1126,Google Ads,151.32,14935,350,31,4.88
2022-06-13,CAMP-1127,Facebook,1672.29,141976,3730,332,5.04
2022-06-13,CAMP-1128,Google Ads,105.51,1629,75,2,52.76
2022-06-13,CAMP-1129,LinkedIn,3302.59,279814,11669,1066,3.1
2022-06-13,CAMP-1130,Facebook,1291.6,66589,1218,30,43.05
2022-06-13,CAMP-1131,Facebook,1236.68,34098,1018,38,32.54
2022-06-13,CAMP-1132,Facebook,2409.69,162739,3563,98,24.59
2022-06-14,CAMP-1133,TikTok,1462.8,133231,2253,100,14.63
2022-06-14,CAMP-1134,LinkedIn,3632.87,230140,3153,234,15.53
2022-06-14,CAMP-1135,Google Ads,3826.13,305278,5965,490,7.81
2022-06-14,CAMP-1136,Facebook,2300.66,129559,5273,278,8.28
2022-06-14,CAMP-1137,TikTok,442.96,30607,588,52,8.52
2022-06-14,CAMP-1138,Facebook,2653.58,112858,2128,133,19.95
2022-06-14,CAMP-1139,TikTok,1555.88,85562,2180,59,26.37
2022-06-14,CAMP-1140,Google Ads,697.95,28969,351,18,38.78
2022-06-14,CAMP-1141,Facebook,4676.82,90600,1850,176,26.57
2022-06-14,CAMP-1142,TikTok,3246.1,97448,4487,339,9.58
2022-06-14,CAMP-1143,LinkedIn,1003.45,75400,2863,74,13.56
2022-06-15,CAMP-1144,TikTok,3588.99,256012,6235,162,22.15
2022-06-15,CAMP-1145,TikTok,4691.3,86445,3101,111,42.26
2022-06-15,CAMP-1146,TikTok,4141.63,241609,4248,338,12.25
2022-06-15,CAMP-1147,LinkedIn,1417.08,111414,3563,320,4.43
2022-06-15,CAMP-1148,TikTok,744.09,25587,1181,92,8.09
2022-06-15,CAMP-1149,Google Ads,423.12,19246,826,42,10.07
2022-06-15,CAMP-1150,Facebook,3332.16,87799,2692,104,32.04
2022-06-15,CAMP-1151,Facebook,2809.54,122112,5914,443,6.34
2022-06-15,CAMP-1152,TikTok,1424.83,74507,3650,203,7.02
2022-06-15,CAMP-1153,LinkedIn,671.07,52212,969,37,18.14
2022-06-16,CAMP-1154,LinkedIn,1408.73,119609,4307,414,3.4
2022-06-16,CAMP-1155,Facebook,3046.21,162978,3013,112,27.2
2022-06-16,CAMP-1156,Google Ads,2798.57,112203,1911,153,18.29
2022-06-16,CAMP-1157,Facebook,1116.58,79601,1054,82,13.62
2022-06-16,CAMP-1158,LinkedIn,3494.49,280336,8165,793,4.41
2022-06-16,CAMP-1159,Facebook,1789.43,136129,6479,361,4.96
2022-06-16,CAMP-1160,TikTok,3941.24,184848,7844,505,7.8
2022-06-16,CAMP-1161,LinkedIn,1602.83,123760,2961,291,5.51
2022-06-16,CAMP-1162,TikTok,1652.41,152731,6131,405,4.08
2022-06-16,CAMP-1163,LinkedIn,1363.16,73054,2635,257,5.3
2022-06-16,CAMP-1164,TikTok,3833.7,332533,6785,255,15.03
2022-06-17,CAMP-1165,Facebook,1650.94,93815,2165,171,9.65
2022-06-17,CAMP-1166,LinkedIn,1332.94,83114,2753,68,19.6
2022-06-17,CAMP-1167,Google Ads,1015.76,41113,1339,128,7.94
2022-06-17,CAMP-1168,Facebook,4347.71,417903,11084,508,8.56
2022-06-17,CAMP-1169,Google Ads,4594.02,370419,10799,367,12.52
2022-06-17,CAMP-1170,LinkedIn,1384.74,120128,2790,155,8.93
2022-06-17,CAMP-1171,LinkedIn,731.89,71457,1755,83,8.82
2022-06-17,CAMP-1172,TikTok,2819.92,57495,1443,60,47.0
2022-06-17,CAMP-1173,LinkedIn,2118.3,39240,1957,187,11.33
2022-06-17,CAMP-1174,LinkedIn,2841.92,223069,7779,167,17.02
2022-06-17,CAMP-1175,Google Ads,2593.33,49755,1761,60,43.22
2022-06-18,CAMP-1176,TikTok,2445.07,28911,1038,73,33.49
2022-06-18,CAMP-1177,Facebook,3727.46,55158,2217,163,22.87
2022-06-18,CAMP-1178,TikTok,2671.67,32384,325,22,121.44
2022-06-18,CAMP-1179,TikTok,2812.85,269768,9793,705,3.99
2022-06-18,CAMP-1180,Google Ads,326.15,8988,160,15,21.74
2022-06-18,CAMP-1181,LinkedIn,1174.95,43724,791,52,22.6
2022-06-18,CAMP-1182,LinkedIn,1425.32,85035,3818,117,12.18
2022-06-18,CAMP-1183,LinkedIn,2015.06,43815,567,39,51.67
2022-06-19,CAMP-1184,Facebook,3223.85,142009,5472,179,18.01
2022-06-19,CAMP-1185,LinkedIn,1266.07,96636,3676,266,4.76
2022-06-19,CAMP-1186,Google Ads,4434.13,273968,6966,610,7.27
2022-06-19,CAMP-1187,TikTok,4350.93,291861,5780,242,17.98
2022-06-19,CAMP-1188,Facebook,3808.73,173449,8392,473,8.05
2022-06-19,CAMP-1189,LinkedIn,2013.84,133017,5884,332,6.07
2022-06-19,CAMP-1190,Facebook,4471.73,205894,5207,384,11.65
2022-06-19,CAMP-1191,Facebook,2247.87,61417,861,66,34.06
2022-06-19,CAMP-1192,TikTok,4566.36,88386,2363,160,28.54
2022-06-20,CAMP-1193,Google Ads,570.79,49172,2302,219,2.61
2022-06-20,CAMP-1194,Google Ads,3011.84,289355,3155,147,20.49
2022-06-20,CAMP-1195,Google Ads,326.75,30627,1230,97,3.37
2022-06-20,CAMP-1196,Google Ads,4664.24,321708,15392,551,8.47
2022-06-20,CAMP-1197,TikTok,2644.43,69869,1385,75,35.26
2022-06-20,CAMP-1198,TikTok,3745.94,115495,4522,112,33.45
2022-06-20,CAMP-1199,LinkedIn,201.8,12827,597,25,8.07
2022-06-20,CAMP-1200,Facebook,1745.8,134488,2407,73,23.92
2022-06-20,CAMP-1201,LinkedIn,2845.37,181682,1831,59,48.23
2022-06-20,CAMP-1202,TikTok,4802.91,290818,3588,169,28.42
2022-06-21,CAMP-1203,Google Ads,2511.09,118098,2839,211,11.9
2022-06-21,CAMP-1204,TikTok,1553.24,150210,2133,180,8.63
2022-06-21,CAMP-1205,Google Ads,1660.83,155056,2501,156,10.65
2022-06-21,CAMP-1206,Google Ads,2071.97,152951,1864,151,13.72
2022-06-21,CAMP-1207,LinkedIn,1335.85,68337,2033,202,6.61
2022-06-21,CAMP-1208,TikTok,4981.54,301359,6593,305,16.33
2022-06-21,CAMP-1209,Facebook,2472.61,225609,9138,513,4.82
2022-06-21,CAMP-1210,Facebook,183.22,17130,682,61,3.0
2022-06-21,CAMP-1211,Facebook,4542.29,225240,3137,305,14.89
2022-06-22,CAMP-1212,LinkedIn,4396.11,397645,12327,842,5.22
2022-06-22,CAMP-1213,Facebook,1771.35,175440,1760,63,28.12
2022-06-22,CAMP-1214,Google Ads,2609.77,253026,11963,263,9.92
2022-06-22,CAMP-1215,TikTok,3293.63,232434,7642,670,4.92
2022-06-22,CAMP-1216,LinkedIn,3621.69,328474,14174,1266,2.86
2022-06-22,CAMP-1217,Google Ads,2376.35,32836,1251,70,33.95
2022-06-22,CAMP-1218,LinkedIn,4497.9,346342,8610,286,15.73
2022-06-22,CAMP-1219,TikTok,213.34,7113,219,7,30.48
2022-06-22,CAMP-1220,Google Ads,3043.19,249365,9245,786,3.87
2022-06-22,CAMP-1221,Facebook,3617.83,347250,16691,864,4.19
2022-06-23,CAMP-1222,LinkedIn,4827.19,129427,6418,257,18.78
2022-06-23,CAMP-1223,LinkedIn,3311.48,323721,8314,810,4.09
2022-06-23,CAMP-1224,Google Ads,1096.49,108921,3449,280,3.92
2022-06-23,CAMP-1225,Google Ads,3665.05,316064,8829,858,4.27
2022-06-23,CAMP-1226,LinkedIn,4116.48,61319,2944,134,30.72
2022-06-23,CAMP-1227,TikTok,3426.07,277998,9008,237,14.46
2022-06-23,CAMP-1228,Google Ads,3424.82,186385,4136,206,16.63
2022-06-23,CAMP-1229,TikTok,3935.29,355022,5608,451,8.73
2022-06-24,CAMP-1230,Google Ads,1535.39,79373,1725,60,25.59
2022-06-24,CAMP-1231,TikTok,2070.9,145093,3787,94,22.03
2022-06-24,CAMP-1232,Google Ads,3906.8,246589,5775,381,10.25
2022-06-24,CAMP-1233,Facebook,2254.15,57800,959,56,40.25
2022-06-24,CAMP-1234,Facebook,1474.42,77908,2262,178,8.28
2022-06-24,CAMP-1235,Facebook,3711.95,46544,1983,134,27.7
2022-06-24,CAMP-1236,Google Ads,1216.08,97531,3371,74,16.43
2022-06-24,CAMP-1237,Google Ads,1522.85,37242,678,22,69.22
2022-06-24,CAMP-1238,LinkedIn,4504.26,358592,15685,1246,3.61
2022-06-25,CAMP-1239,Facebook,2834.48,56208,1617,89,31.85
2022-06-25,CAMP-1240,TikTok,4845.61,340316,16820,1448,3.35
2022-06-25,CAMP-1241,LinkedIn,4139.41,79633,2849,136,30.44
2022-06-25,CAMP-1242,Google Ads,245.0,6221,112,7,35.0
2022-06-25,CAMP-1243,LinkedIn,2477.66,155575,2741,201,12.33
2022-06-25,CAMP-1244,Google Ads,1624.98,67048,3250,166,9.79
2022-06-25,CAMP-1245,Google Ads,412.86,23010,614,21,19.66
2022-06-25,CAMP-1246,Facebook,2373.54,80665,947,32,74.17
2022-06-25,CAMP-1247,Google Ads,3949.44,196296,8717,592,6.67
2022-06-25,CAMP-1248,LinkedIn,2107.85,108109,4191,324,6.51
2022-06-26,CAMP-1249,Facebook,4973.0,416324,9076,860,5.78
2022-06-26,CAMP-1250,TikTok,4704.97,253756,11103,499,9.43
2022-06-26,CAMP-1251,Facebook,584.44,38557,552,49,11.93
2022-06-26,CAMP-1252,LinkedIn,272.77,15033,640,24,11.37
2022-06-26,CAMP-1253,TikTok,3681.16,86486,3142,211,17.45
2022-06-26,CAMP-1254,LinkedIn,3463.97,321750,7600,513,6.75
2022-06-26,CAMP-1255,LinkedIn,4197.88,380850,12099,951,4.41
2022-06-26,CAMP-1256,Google Ads,508.74,13142,166,5,101.75
2022-06-26,CAMP-1257,Google Ads,1275.84,19871,793,60,21.26
2022-06-26,CAMP-1258,TikTok,2035.0,33282,1452,52,39.13
2022-06-27,CAMP-1259,LinkedIn,3239.66,97364,1518,139,23.31
2022-06-27,CAMP-1260,LinkedIn,1971.84,49758,617,39,50.56
2022-06-27,CAMP-1261,Facebook,3748.16,171394,8146,743,5.04
2022-06-27,CAMP-1262,Google Ads,3287.38,192119,6455,457,7.19
2022-06-27,CAMP-1263,Facebook,3333.8,267371,6124,329,10.13
2022-06-27,CAMP-1264,Google Ads,288.42,15455,534,47,6.14
2022-06-27,CAMP-1265,Google Ads,2046.59,128091,6300,517,3.96
2022-06-27,CAMP-1266,Google Ads,1751.68,164478,3571,345,5.08
2022-06-27,CAMP-1267,Google Ads,3427.76,70140,3013,202,16.97
2022-06-27,CAMP-1268,LinkedIn,3638.55,64666,2824,198,18.38
2022-06-28,CAMP-1269,LinkedIn,2028.28,173242,2297,133,15.25
2022-06-28,CAMP-1270,LinkedIn,2583.04,45750,2258,46,56.15
2022-06-28,CAMP-1271,Facebook,4139.87,292361,6088,585,7.08
2022-06-28,CAMP-1272,Facebook,4074.07,108606,4995,260,15.67
2022-06-28,CAMP-1273,Facebook,1402.48,40495,1568,85,16.5
2022-06-28,CAMP-1274,LinkedIn,3639.94,77825,865,54,67.41
2022-06-28,CAMP-1275,Facebook,416.32,6760,236,8,52.04
2022-06-28,CAMP-1276,Google Ads,2801.78,129442,5620,479,5.85
2022-06-28,CAMP-1277,Facebook,327.07,26690,277,7,46.72
2022-06-28,CAMP-1278,Facebook,4161.18,321961,4711,126,33.03
2022-06-29,CAMP-1279,TikTok,1564.7,38949,1005,40,39.12
2022-06-29,CAMP-1280,TikTok,1432.94,79219,3886,383,3.74
2022-06-29,CAMP-1281,TikTok,2034.42,30163,1010,75,27.13
2022-06-29,CAMP-1282,Facebook,4598.7,291342,3578,145,31.72
2022-06-29,CAMP-1283,Facebook,3502.36,86800,3539,247,14.18
2022-06-29,CAMP-1284,Facebook,1322.89,64880,2729,124,10.67
2022-06-29,CAMP-1285,Google Ads,1607.99,44009,1825,48,33.5
2022-06-29,CAMP-1286,TikTok,3039.13,61002,1640,38,79.98
2022-06-29,CAMP-1287,Google Ads,788.69,9521,102,7,112.67
2022-06-29,CAMP-1288,TikTok,4964.0,73283,2877,80,62.05
2022-06-30,CAMP-1289,Facebook,923.56,36008,1230,62,14.9
2022-06-30,CAMP-1290,Facebook,853.66,53226,790,36,23.71
2022-06-30,CAMP-1291,TikTok,2016.37,32274,506,11,183.31
2022-06-30,CAMP-1292,Google Ads,4471.47,196876,4285,323,13.84
2022-06-30,CAMP-1293,TikTok,4971.05,343517,7363,361,13.77
2022-06-30,CAMP-1294,TikTok,4269.36,388116,13171,663,6.44
2022-06-30,CAMP-1295,LinkedIn,4446.72,401752,10246,413,10.77
2022-06-30,CAMP-1296,Facebook,3292.33,106652,5229,342,9.63
2022-06-30,CAMP-1297,TikTok,1300.35,96755,4804,323,4.03
2022-06-30,CAMP-1298,Facebook,4177.27,243289,9223,586,7.13
2022-06-30,CAMP-1299,Facebook,1231.62,87278,3952,314,3.92
2022-07-01,CAMP-1300,TikTok,2215.52,49260,1981,86,25.76
2022-07-01,CAMP-1301,LinkedIn,2751.85,174995,4961,213,12.92
2022-07-01,CAMP-1302,Facebook,2719.3,231050,8954,793,3.43
2022-07-01,CAMP-1303,LinkedIn,814.84,70568,1070,37,22.02
2022-07-01,CAMP-1304,TikTok,4535.35,113374,5094,449,10.1
2022-07-01,CAMP-1305,TikTok,3256.42,61280,2845,202,16.12
2022-07-01,CAMP-1306,Google Ads,1703.75,56293,2550,211,8.07
2022-07-01,CAMP-1307,Facebook,1015.18,40682,584,22,46.14
2022-07-01,CAMP-1308,Facebook,3565.04,185486,4469,134,26.6
2022-07-02,CAMP-1309,Google Ads,203.95,2118,50,2,101.97
2022-07-02,CAMP-1310,Facebook,3968.66,84495,3369,174,22.81
2022-07-02,CAMP-1311,Facebook,3887.94,46466,2242,114,34.1
2022-07-02,CAMP-1312,TikTok,2943.57,132381,2759,63,46.72
2022-07-02,CAMP-1313,Facebook,2369.32,88817,4297,174,13.62
2022-07-02,CAMP-1314,Facebook,642.71,49313,1926,54,11.9
2022-07-02,CAMP-1315,TikTok,3761.09,264033,9122,417,9.02
2022-07-02,CAMP-1316,LinkedIn,4765.61,428261,19374,1335,3.57
2022-07-02,CAMP-1317,TikTok,4872.58,481508,21727,1908,2.55
2022-07-03,CAMP-1318,LinkedIn,2249.58,193515,2328,89,25.28
2022-07-03,CAMP-1319,Google Ads,2478.41,191937,4255,425,5.83
2022-07-03,CAMP-1320,Google Ads,2289.59,108790,1923,176,13.01
2022-07-03,CAMP-1321,Google Ads,3205.68,116385,3097,163,19.67
2022-07-03,CAMP-1322,Google Ads,2177.79,32409,892,37,58.86
2022-07-03,CAMP-1323,Facebook,821.79,41096,747,68,12.09
2022-07-03,CAMP-1324,Google Ads,2971.28,153293,7264,720,4.13
2022-07-03,CAMP-1325,Google Ads,2112.76,109035,1985,142,14.88
2022-07-03,CAMP-1326,Google Ads,3747.19,324944,12285,530,7.07
2022-07-04,CAMP-1327,LinkedIn,1721.43,127159,2968,288,5.98
2022-07-04,CAMP-1328,TikTok,1044.32,70956,3433,155,6.74
2022-07-04,CAMP-1329,TikTok,2940.78,41410,1033,81,36.31
2022-07-04,CAMP-1330,Facebook,2348.18,233591,11362,804,2.92
2022-07-04,CAMP-1331,Google Ads,4973.79,92300,4304,385,12.92
2022-07-04,CAMP-1332,Facebook,1273.97,91528,2185,54,23.59
2022-07-04,CAMP-1333,TikTok,2648.36,212914,4322,187,14.16
2022-07-04,CAMP-1334,Facebook,3169.72,140820,4341,242,13.1
2022-07-04,CAMP-1335,Google Ads,1851.67,96460,2889,169,10.96
2022-07-05,CAMP-1336,TikTok,942.07,90923,3326,81,11.63
2022-07-05,CAMP-1337,TikTok,3441.87,157177,2548,227,15.16
2022-07-05,CAMP-1338,TikTok,1314.5,111187,4800,196,6.71
2022-07-05,CAMP-1339,Google Ads,755.63,26649,1199,106,7.13
2022-07-05,CAMP-1340,Facebook,250.69,5513,83,7,35.81
2022-07-05,CAMP-1341,Google Ads,3526.33,91309,1128,89,39.62
2022-07-05,CAMP-1342,TikTok,4632.74,416066,18304,522,8.87
2022-07-05,CAMP-1343,LinkedIn,1014.74,76940,1568,79,12.84
2022-07-05,CAMP-1344,Google Ads,1273.36,62126,2660,208,6.12
2022-07-06,CAMP-1345,TikTok,563.7,32836,469,34,16.58
2022-07-06,CAMP-1346,Google Ads,657.66,40217,1704,135,4.87
2022-07-06,CAMP-1347,LinkedIn,4809.95,367923,11536,405,11.88
2022-07-06,CAMP-1348,LinkedIn,2707.05,69958,3097,203,13.34
2022-07-06,CAMP-1349,TikTok,3499.06,342110,10142,377,9.28
2022-07-06,CAMP-1350,Google Ads,2030.03,108985,2126,130,15.62
2022-07-06,CAMP-1351,LinkedIn,451.84,12535,414,15,30.12
2022-07-06,CAMP-1352,Google Ads,3055.77,38250,1177,24,127.32
2022-07-06,CAMP-1353,LinkedIn,2984.05,156211,3082,121,24.66
2022-07-06,CAMP-1354,Facebook,2175.36,74272,2593,244,8.92
2022-07-06,CAMP-1355,Facebook,1291.62,126474,3269,293,4.41
2022-07-07,CAMP-1356,Google Ads,2276.57,200498,7394,416,5.47
2022-07-07,CAMP-1357,Google Ads,3325.53,155106,4207,276,12.05
2022-07-07,CAMP-1358,TikTok,238.62,10381,360,33,7.23
2022-07-07,CAMP-1359,LinkedIn,4462.44,58242,1473,128,34.86
2022-07-07,CAMP-1360,Facebook,264.91,18399,311,24,11.04
2022-07-07,CAMP-1361,Facebook,2698.3,50762,772,18,149.91
2022-07-07,CAMP-1362,Facebook,1629.67,36637,1662,55,29.63
2022-07-08,CAMP-1363,TikTok,3324.2,55968,715,18,184.68
2022-07-08,CAMP-1364,Google Ads,1330.95,111101,5141,374,3.56
2022-07-08,CAMP-1365,TikTok,186.17,9599,328,10,18.62
2022-07-08,CAMP-1366,Facebook,3746.78,140125,4377,327,11.46
2022-07-08,CAMP-1367,LinkedIn,3041.49,182050,4369,159,19.13
2022-07-08,CAMP-1368,TikTok,3267.28,202440,2821,113,28.91
2022-07-08,CAMP-1369,Facebook,4785.33,218182,10230,428,11.18
2022-07-08,CAMP-1370,Facebook,970.9,42060,1804,106,9.16
2022-07-08,CAMP-1371,LinkedIn,3414.65,103466,2279,161,21.21
