date,ticker,open_price,high,low,close_price,volume
2015-04-03,AAPL,208.49,210.85,205.91,207.13,27708055
2015-04-06,AAPL,205.16,207.45,203.44,205.84,8796296
2015-04-07,AAPL,206.28,211.19,203.45,210.55,34853612
2015-04-08,AAPL,210.52,212.01,207.87,210.22,45874867
2015-04-09,AAPL,208.35,210.11,208.13,209.22,13078702
2015-04-10,AAPL,208.93,212.63,204.93,210.4,43347195
2015-04-13,AAPL,209.57,211.1,208.15,209.5,10528810
2015-04-14,AAPL,210.68,211.62,202.45,205.36,47336073
2015-04-15,AAPL,203.64,207.2,200.57,204.98,37303971
2015-04-16,AAPL,203.0,206.64,200.95,202.47,20699143
2015-04-17,AAPL,201.05,203.33,200.28,202.84,27776022
2015-04-20,AAPL,204.22,205.76,199.69,202.93,24797667
2015-04-21,AAPL,203.46,204.13,199.94,203.13,42120742
2015-04-22,AAPL,202.02,205.76,200.75,201.71,34296108
2015-04-23,AAPL,202.89,207.54,201.83,204.21,32613214
2015-04-24,AAPL,205.63,211.71,202.35,210.31,43994908
2015-04-27,AAPL,209.75,212.69,206.56,208.43,49014928
2015-04-28,AAPL,210.13,214.43,209.32,212.81,36463704
2015-04-29,AAPL,212.19,215.43,210.5,211.36,7443480
2015-04-30,AAPL,209.92,213.73,206.01,212.09,46727824
2015-05-01,AAPL,212.85,216.57,209.96,214.69,15113252
2015-05-04,AAPL,214.21,218.33,209.47,211.01,28537245
2015-05-05,AAPL,210.26,214.25,208.64,213.15,6155916
2015-05-06,AAPL,211.75,219.4,211.32,215.64,46542551
2015-05-07,AAPL,213.7,217.58,208.4,212.11,47730815
2015-05-08,AAPL,213.61,216.1,212.69,212.76,39419556
2015-05-11,AAPL,213.06,216.1,212.0,214.46,8826957
2015-05-12,AAPL,213.5,215.12,211.3,213.91,21083244
2015-05-13,AAPL,211.94,215.16,208.58,208.64,46039546
2015-05-14,AAPL,208.14,209.98,206.45,207.29,41569113
2015-05-15,AAPL,207.42,211.32,206.62,208.85,31510704
2015-05-18,AAPL,207.09,209.96,200.06,202.35,17092105
2015-05-19,AAPL,202.83,203.73,202.71,203.64,34464965
2015-05-20,AAPL,202.6,204.5,198.6,202.71,41613232
2015-05-21,AAPL,204.19,205.14,201.6,203.53,39739133
2015-05-22,AAPL,204.64,207.72,200.16,201.13,47054397
2015-05-25,AAPL,200.53,201.94,197.57,201.53,47810708
2015-05-26,AAPL,202.75,206.11,199.0,204.72,16498918
2015-05-27,AAPL,206.34,209.57,204.17,204.55,37226872
2015-05-28,AAPL,205.15,207.64,202.21,203.75,27411079
2015-05-29,AAPL,203.31,204.57,198.11,200.52,38449566
2015-06-01,AAPL,199.21,200.16,197.82,197.91,45385109
2015-06-02,AAPL,197.13,198.36,189.51,193.1,6507212
2015-06-03,AAPL,192.32,194.94,190.56,191.38,21815496
2015-06-04,AAPL,190.5,193.82,188.2,192.68,20722418
2015-06-05,AAPL,192.89,195.14,190.32,193.87,3500974
2015-06-08,AAPL,195.44,196.94,192.38,195.06,36738013
2015-06-09,AAPL,194.9,195.85,194.28,195.56,2395424
2015-06-10,AAPL,196.1,199.37,196.02,198.18,34534788
2015-06-11,AAPL,196.45,199.79,192.68,193.69,26371443
2015-06-12,AAPL,191.88,192.95,189.15,189.9,31451410
2015-06-15,AAPL,189.1,189.94,185.07,186.38,31399555
2015-06-16,AAPL,187.85,188.94,186.47,187.11,30138930
2015-06-17,AAPL,185.88,189.54,184.83,185.24,20099207
2015-06-18,AAPL,183.42,186.08,181.68,184.36,29578835
2015-06-19,AAPL,184.47,187.35,178.65,181.33,4338513
2015-06-22,AAPL,180.6,182.54,178.67,181.89,39591575
2015-06-23,AAPL,181.27,181.58,177.81,181.25,33521330
2015-06-24,AAPL,181.76,182.45,179.57,181.72,45325126
2015-06-25,AAPL,182.52,183.57,180.12,182.56,21310311
2015-06-26,AAPL,182.56,186.05,180.27,181.32,43940091
2015-06-29,AAPL,181.54,181.72,178.37,181.48,45040477
2015-06-30,AAPL,181.75,183.48,180.62,182.67,27708604
2015-07-01,AAPL,183.89,186.55,182.22,184.28,18671369
2015-07-02,AAPL,182.89,186.44,178.9,180.71,21208450
2015-07-03,AAPL,181.48,183.51,179.14,179.66,40434412
2015-07-06,AAPL,179.16,183.59,178.12,180.44,4401299
2015-07-07,AAPL,180.62,181.99,177.85,178.76,11177871
2015-07-08,AAPL,177.64,181.47,175.54,179.26,20102952
2015-07-09,AAPL,181.03,182.97,175.97,179.33,19941716
2015-07-10,AAPL,178.68,179.91,175.51,176.68,43567048
2015-07-13,AAPL,177.06,183.41,176.04,179.9,10201336
2015-07-14,AAPL,180.2,180.79,178.7,178.92,40872717
2015-07-15,AAPL,180.55,186.07,177.57,183.48,5392571
2015-07-16,AAPL,184.64,187.53,178.82,182.31,21786767
2015-07-17,AAPL,183.96,185.69,178.08,180.53,30694146
2015-07-20,AAPL,181.06,183.43,177.95,179.47,27227961
2015-07-21,AAPL,178.62,181.88,174.75,176.28,47494098
2015-07-22,AAPL,175.93,177.5,172.83,174.8,21598613
2015-07-23,AAPL,173.58,178.7,173.46,175.68,22713589
2015-07-24,AAPL,174.29,176.5,171.84,172.57,48194890
2015-07-27,AAPL,174.12,176.62,171.13,173.38,3245104
2015-07-28,AAPL,172.84,178.62,170.03,175.57,19190509
2015-07-29,AAPL,174.53,177.06,172.01,172.15,23658518
2015-07-30,AAPL,172.43,173.4,171.43,173.2,31884347
2015-07-31,AAPL,171.93,174.72,170.39,173.1,21014800
2015-08-03,AAPL,172.07,174.26,171.59,172.78,12888255
2015-08-04,AAPL,171.25,174.21,168.92,171.22,6149445
2015-08-05,AAPL,170.05,173.63,169.63,170.74,31901668
2015-08-06,AAPL,169.73,171.48,167.18,168.54,42388344
2015-08-07,AAPL,168.54,170.71,166.52,167.87,34860436
2015-08-10,AAPL,169.42,173.8,167.44,171.42,4701676
2015-08-11,AAPL,171.62,172.54,168.22,172.09,38231947
2015-08-12,AAPL,172.11,175.29,169.91,173.42,12395588
2015-08-13,AAPL,174.49,174.72,173.69,174.18,34882290
2015-08-14,AAPL,173.71,174.94,173.38,174.4,21366495
2015-08-17,AAPL,175.57,181.85,174.77,179.69,40759223
2015-08-18,AAPL,181.42,183.52,174.76,177.59,35081319
2015-08-19,AAPL,177.36,177.73,173.93,176.3,40411204
2015-08-20,AAPL,177.73,180.4,174.15,176.87,35566345
2015-08-21,AAPL,177.29,178.47,176.47,177.23,7133434
2015-08-24,AAPL,177.96,180.41,174.75,177.86,18375400
2015-08-25,AAPL,177.8,180.44,177.0,177.71,31990644
2015-08-26,AAPL,176.85,177.67,174.41,174.96,42228685
2015-08-27,AAPL,173.7,174.04,169.09,171.12,46997246
2015-08-28,AAPL,172.1,173.07,167.36,170.32,46971015
2015-08-31,AAPL,169.67,171.24,164.32,165.67,41691175
2015-09-01,AAPL,164.37,166.67,161.86,163.81,29166018
2015-09-02,AAPL,162.32,165.51,158.84,160.95,36308505
2015-09-03,AAPL,162.31,163.37,158.69,159.78,9322902
2015-09-04,AAPL,158.24,160.4,155.56,159.22,12452854
2015-09-07,AAPL,157.99,158.58,153.84,155.33,11516452
2015-09-08,AAPL,156.49,161.39,154.64,158.6,39038246
2015-09-09,AAPL,157.91,159.78,155.05,155.4,28126772
2015-09-10,AAPL,154.1,158.43,152.23,156.55,36221196
2015-09-11,AAPL,157.28,159.67,154.66,157.47,39744512
2015-09-14,AAPL,156.44,158.32,156.2,156.38,46753086
2015-09-15,AAPL,154.98,156.81,154.1,155.88,48150345
2015-09-16,AAPL,156.37,159.1,153.48,158.84,27819720
2015-09-17,AAPL,158.0,160.13,156.51,156.56,43025736
2015-09-18,AAPL,156.98,157.78,155.06,157.16,41540381
2015-09-21,AAPL,157.77,158.52,156.24,158.15,26941544
2015-09-22,AAPL,156.82,159.09,154.9,157.93,12781011
2015-09-23,AAPL,158.77,165.2,158.5,162.14,12571776
2015-09-24,AAPL,160.65,160.7,158.33,158.94,18451236
2015-09-25,AAPL,159.64,162.2,159.51,159.92,23567913
2015-09-28,AAPL,159.78,162.65,159.5,162.39,5886288
2015-09-29,AAPL,162.64,167.59,162.07,165.44,42347346
2015-09-30,AAPL,163.86,165.27,160.75,164.32,9444128
2015-10-01,AAPL,162.74,164.99,162.56,163.27,16205073
2015-10-02,AAPL,163.91,169.42,163.04,167.53,15850969
2015-10-05,AAPL,165.96,169.21,165.08,167.41,36968484
2015-10-06,AAPL,166.61,169.54,163.62,166.28,9474782
2015-10-07,AAPL,165.59,168.85,161.15,162.96,8122188
2015-10-08,AAPL,164.2,166.39,159.79,161.8,4823808
2015-10-09,AAPL,162.05,163.46,160.33,162.97,32768119
2015-10-12,AAPL,164.42,165.27,160.47,161.6,34967594
2015-10-13,AAPL,162.44,164.42,160.09,161.96,21887424
2015-10-14,AAPL,161.69,164.02,158.52,159.5,12208373
2015-10-15,AAPL,159.62,160.84,157.18,159.95,19096903
2015-10-16,AAPL,160.4,163.5,158.61,162.73,17379927
2015-10-19,AAPL,163.62,163.63,159.29,161.82,33722225
2015-10-20,AAPL,162.78,164.35,161.78,163.44,32143205
2015-10-21,AAPL,162.94,163.24,157.54,160.37,12696951
2015-10-22,AAPL,160.75,162.36,157.78,161.11,43324936
2015-10-23,AAPL,160.86,164.05,159.76,161.41,8581601
2015-10-26,AAPL,161.77,163.58,158.62,162.2,36687622
2015-10-27,AAPL,162.65,165.38,160.07,163.87,13610625
2015-10-28,AAPL,162.5,165.32,159.59,161.52,35498833
2015-10-29,AAPL,162.06,163.05,159.19,160.57,12436750
2015-10-30,AAPL,161.05,162.17,157.9,160.51,45900522
2015-11-02,AAPL,159.89,162.03,157.79,159.74,18640184
2015-11-03,AAPL,159.4,162.16,157.15,161.51,22577689
2015-11-04,AAPL,161.69,166.94,158.99,163.81,23296468
2015-11-05,AAPL,162.98,165.04,159.63,161.97,22795485
2015-11-06,AAPL,163.53,165.16,161.77,162.27,28041535
2015-11-09,AAPL,161.64,162.59,159.19,161.0,16781294
2015-11-10,AAPL,160.53,161.43,157.81,160.32,33165626
2015-11-11,AAPL,161.18,164.32,159.91,163.46,43615175
2015-11-12,AAPL,163.94,167.14,162.4,165.73,47333204
2015-11-13,AAPL,165.78,167.67,164.44,165.45,34169762
2015-11-16,AAPL,167.04,170.56,164.99,167.38,48336561
2015-11-17,AAPL,165.93,168.36,165.61,168.3,2650565
2015-11-18,AAPL,167.26,169.55,166.45,169.4,20095439
2015-11-19,AAPL,170.16,176.04,167.23,173.37,43060332
2015-11-20,AAPL,173.64,176.87,169.19,169.34,20803242
2015-11-23,AAPL,170.68,173.79,169.58,171.02,6536504
2015-11-24,AAPL,170.33,172.95,169.31,169.85,15991783
2015-11-25,AAPL,169.88,172.59,169.59,170.86,31774116
2015-11-26,AAPL,171.13,172.39,168.77,171.07,46539154
2015-11-27,AAPL,171.77,175.83,171.05,173.55,27236832
2015-11-30,AAPL,174.7,178.81,172.11,176.01,12017032
2015-12-01,AAPL,176.03,178.65,175.16,175.98,11531544
2015-12-02,AAPL,176.3,176.92,173.99,175.9,25449467
2015-12-03,AAPL,176.93,177.72,172.72,176.0,6727599
2015-12-04,AAPL,175.42,177.66,173.87,175.92,13001308
2015-12-07,AAPL,176.24,178.97,171.21,174.49,46142282
2015-12-08,AAPL,174.78,176.07,172.9,175.67,6864557
2015-12-09,AAPL,176.61,179.26,175.69,177.11,36229034
2015-12-10,AAPL,175.95,177.16,174.47,176.09,42387033
2015-12-11,AAPL,174.76,176.47,172.64,174.84,16675901
2015-12-14,AAPL,174.66,175.51,172.08,174.93,5921963
2015-12-15,AAPL,173.54,174.62,169.33,172.72,6102671
2015-12-16,AAPL,171.02,171.59,169.27,171.15,15576574
2015-12-17,AAPL,170.9,171.0,168.02,169.44,28760394
2015-12-18,AAPL,168.57,169.54,163.56,165.93,15672720
2015-12-21,AAPL,164.34,168.99,163.14,166.97,49063518
2015-12-22,AAPL,165.35,167.33,161.2,163.97,37691767
2015-12-23,AAPL,164.42,168.08,164.2,165.99,34862200
2015-12-24,AAPL,165.72,168.67,161.37,164.32,30401530
2015-12-25,AAPL,163.35,163.81,159.72,162.11,1084856
2015-12-28,AAPL,163.3,164.64,162.13,164.29,27100235
2015-12-29,AAPL,165.05,166.65,163.04,165.13,23160698
2015-12-30,AAPL,165.02,167.97,162.13,167.16,32908618
2015-12-31,AAPL,167.12,167.46,162.91,164.48,32606728
2016-01-01,AAPL,163.47,163.67,160.66,162.91,43745559
2016-01-04,AAPL,162.45,164.64,159.32,163.46,27099650
2016-01-05,AAPL,164.73,167.32,161.82,166.33,13970594
2016-01-06,AAPL,165.82,166.63,162.14,164.12,34224117
2016-01-07,AAPL,162.49,162.96,160.73,162.73,35353153
2016-01-08,AAPL,161.88,163.79,159.56,161.98,42316486
2016-01-11,AAPL,160.75,161.41,158.38,160.05,32702840
2016-01-12,AAPL,159.63,161.59,158.22,160.02,29569203
2016-01-13,AAPL,159.94,162.8,159.75,160.61,1744479
2016-01-14,AAPL,161.94,163.95,160.44,162.05,41604090
2016-01-15,AAPL,162.09,162.4,157.68,160.48,21313331
2016-01-18,AAPL,161.57,163.52,158.57,162.08,32442729
2016-01-19,AAPL,162.65,165.6,160.22,162.82,45339736
2016-01-20,AAPL,161.9,163.91,158.1,158.82,29755678
2016-01-21,AAPL,158.19,159.15,157.12,159.07,12948432
2016-01-22,AAPL,160.0,162.1,156.6,159.48,6261288
2016-01-25,AAPL,158.49,159.55,156.37,159.13,27980074
2016-01-26,AAPL,159.84,162.22,158.23,160.0,39403190
2016-01-27,AAPL,161.26,161.97,154.83,157.46,26344284
2016-01-28,AAPL,156.37,159.05,154.08,157.75,30341160
2016-01-29,AAPL,157.11,159.55,154.51,155.59,42229857
2016-02-01,AAPL,155.63,156.26,152.79,154.99,37592666
2016-02-02,AAPL,154.44,157.05,150.02,151.11,33682642
2016-02-03,AAPL,152.27,153.42,149.18,151.1,12763930
2016-02-04,AAPL,151.86,154.59,150.61,150.65,35526653
2016-02-05,AAPL,151.28,152.1,150.36,151.21,49984485
2016-02-08,AAPL,151.38,153.15,149.63,152.2,1623613
2016-02-09,AAPL,151.32,151.52,148.11,150.96,32873064
2016-02-10,AAPL,150.3,152.45,147.51,150.25,32457808
2016-02-11,AAPL,151.16,154.66,150.07,151.71,35807067
2016-02-12,AAPL,151.7,151.99,148.83,149.32,1009589
2016-02-15,AAPL,148.41,150.62,147.19,149.05,25198414
2016-02-16,AAPL,149.1,151.3,148.41,149.62,22409459
2016-02-17,AAPL,148.61,149.48,144.79,146.41,32053752
2016-02-18,AAPL,147.74,150.21,146.59,148.02,3858382
2016-02-19,AAPL,147.98,151.11,146.38,148.65,26666862
2016-02-22,AAPL,147.72,150.43,143.9,144.8,18525901
2016-02-23,AAPL,144.87,148.16,143.09,147.47,39852771
2016-02-24,AAPL,147.18,150.02,145.1,146.93,13946626
2016-02-25,AAPL,147.15,147.16,143.04,145.56,22135885
2016-02-26,AAPL,145.28,148.93,143.38,147.71,49938693
2016-02-29,AAPL,147.71,151.73,147.02,149.1,3132491
2016-03-01,AAPL,148.31,148.37,145.57,146.67,42182882
2016-03-02,AAPL,146.42,148.65,144.53,146.63,37937428
2016-03-03,AAPL,146.42,148.84,142.64,144.77,40524168
2016-03-04,AAPL,143.52,145.16,140.67,143.62,38800262
2016-03-07,AAPL,142.47,143.82,139.62,142.06,35707679
2016-03-08,AAPL,143.36,146.45,142.57,144.64,49215394
2016-03-09,AAPL,145.14,146.27,144.16,145.32,15738221
2016-03-10,AAPL,145.81,146.84,144.89,146.55,10951939
2016-03-11,AAPL,147.89,148.27,147.38,147.53,1765193
2016-03-14,AAPL,147.66,149.77,145.15,146.85,46873919
2016-03-15,AAPL,147.24,150.76,146.38,148.3,45600042
2016-03-16,AAPL,147.33,149.92,146.75,147.3,15036950
2016-03-17,AAPL,146.24,149.8,145.55,147.89,37841834
2016-03-18,AAPL,147.79,148.74,147.38,148.55,39861606
2016-03-21,AAPL,148.25,150.12,147.9,147.94,33227996
2016-03-22,AAPL,147.91,150.74,146.03,150.58,2514723
2016-03-23,AAPL,151.15,153.95,149.5,152.29,21542561
2016-03-24,AAPL,152.1,153.73,148.46,149.0,15126304
2016-03-25,AAPL,149.06,153.49,148.01,150.55,5345452
2016-03-28,AAPL,152.02,155.32,151.14,152.94,29028155
2016-03-29,AAPL,153.56,155.15,152.11,154.1,12795481
2016-03-30,AAPL,154.04,156.85,152.98,153.01,40696741
2016-03-31,AAPL,153.64,155.33,149.68,151.26,43551890
2016-04-01,AAPL,152.55,153.65,152.08,153.44,5337695
2016-04-04,AAPL,152.23,155.43,151.96,153.99,7099398
2016-04-05,AAPL,153.38,155.57,152.36,154.4,17349238
2016-04-06,AAPL,155.31,156.67,153.92,155.86,25916218
2016-04-07,AAPL,154.39,157.7,153.86,155.03,7939394
2016-04-08,AAPL,153.98,154.45,151.7,153.25,36929630
2016-04-11,AAPL,152.13,153.29,151.94,152.3,18334221
2016-04-12,AAPL,153.76,154.36,149.42,151.26,47404147
2016-04-13,AAPL,150.75,153.31,150.17,152.74,11923459
2016-04-14,AAPL,151.33,153.89,149.9,152.54,5881239
2016-04-15,AAPL,151.89,156.72,151.24,156.16,40999664
2016-04-18,AAPL,157.29,160.0,153.53,154.86,45917803
2016-04-19,AAPL,155.24,156.48,153.24,155.35,14617716
2016-04-20,AAPL,156.44,156.92,156.24,156.42,5331576
2016-04-21,AAPL,157.53,163.61,154.47,161.56,45246517
2016-04-22,AAPL,162.2,167.09,160.42,164.01,36042905
2016-04-25,AAPL,162.46,162.59,158.83,161.59,22467375
2016-04-26,AAPL,161.41,162.6,158.95,162.23,36025340
2016-04-27,AAPL,161.69,163.83,157.4,159.37,13675145
2016-04-28,AAPL,159.33,163.19,156.79,160.77,20796587
2016-04-29,AAPL,159.54,160.71,155.57,158.49,34897907
2016-05-02,AAPL,158.16,159.45,155.73,158.96,26433336
2016-05-03,AAPL,157.76,160.75,155.92,156.28,10217098
2016-05-04,AAPL,155.19,159.13,154.73,158.24,2257681
2016-05-05,AAPL,157.36,159.93,156.51,156.84,31810539
2016-05-06,AAPL,156.42,156.45,153.11,156.1,12210135
2016-05-09,AAPL,157.05,162.7,154.96,159.99,44910799
2016-05-10,AAPL,161.51,164.33,157.47,160.61,7073355
2016-05-11,AAPL,160.27,164.72,158.8,163.7,11133919
2016-05-12,AAPL,162.07,163.12,157.59,159.48,43612498
2016-05-13,AAPL,158.84,162.69,156.63,159.72,27146237
2016-05-16,AAPL,159.69,164.77,159.05,161.77,9441118
2016-05-17,AAPL,160.56,163.21,159.64,159.84,36068200
2016-05-18,AAPL,159.81,163.0,155.58,156.88,10620817
2016-05-19,AAPL,158.18,160.42,157.92,157.96,7182959
2016-05-20,AAPL,157.66,159.77,151.74,153.87,36847246
2016-05-23,AAPL,153.54,155.18,150.91,152.05,16134213
2016-05-24,AAPL,152.83,155.76,150.17,152.96,13660096
2016-05-25,AAPL,153.98,155.19,151.59,152.21,44975642
2016-05-26,AAPL,152.58,154.85,148.37,150.23,13321718
2016-05-27,AAPL,148.74,153.09,148.37,150.82,11591286
2016-05-30,AAPL,151.98,153.21,148.61,151.0,11098371
2016-05-31,AAPL,149.62,151.63,145.67,148.62,8650026
2016-06-01,AAPL,148.17,150.18,146.77,149.77,22658442
2016-06-02,AAPL,150.37,150.96,148.76,150.46,16676911
2016-06-03,AAPL,151.83,153.74,148.42,150.96,13598418
2016-06-06,AAPL,151.39,154.18,149.82,150.37,38603938
2016-06-07,AAPL,148.9,150.13,145.93,149.49,21389976
2016-06-08,AAPL,149.53,152.16,146.94,148.12,15643606
2016-06-09,AAPL,149.56,151.1,146.91,148.12,2976926
2016-06-10,AAPL,148.46,151.76,147.32,151.23,36286462
2016-06-13,AAPL,149.77,153.81,149.09,152.27,4081132
2016-06-14,AAPL,152.3,153.47,150.02,151.53,15689176
2016-06-15,AAPL,151.12,155.42,148.1,152.68,32798103
2016-06-16,AAPL,153.95,155.48,151.29,155.11,1526858
2016-06-17,AAPL,154.91,156.6,151.81,155.25,45136230
2016-06-20,AAPL,155.33,159.65,152.85,156.73,42388977
2016-06-21,AAPL,155.57,156.18,154.39,155.46,27740184
2016-06-22,AAPL,155.24,156.27,151.34,154.42,26086882
2016-06-23,AAPL,155.17,155.19,153.48,153.68,19589032
2016-06-24,AAPL,153.24,155.52,150.65,153.24,35179217
2016-06-27,AAPL,153.89,156.82,151.83,155.82,33326122
2016-06-28,AAPL,154.65,154.79,152.67,154.77,31126023
2016-06-29,AAPL,155.69,157.01,153.86,156.48,19386317
2016-06-30,AAPL,157.94,161.09,156.32,158.53,15493961
2016-07-01,AAPL,158.49,162.11,157.32,161.96,8109950
2016-07-04,AAPL,163.52,167.01,160.43,164.97,48468574
2016-07-05,AAPL,163.84,167.1,160.8,166.12,37476617
2016-07-06,AAPL,166.67,168.37,164.24,165.43,40318855
2016-07-07,AAPL,165.35,165.81,161.37,163.17,27749747
2016-07-08,AAPL,164.73,164.99,163.46,164.54,43795676
2016-07-11,AAPL,163.73,164.96,160.32,162.41,11452888
2016-07-12,AAPL,161.94,162.73,159.2,161.79,48934674
2016-07-13,AAPL,160.92,166.37,157.83,163.66,7697615
2016-07-14,AAPL,162.16,163.63,160.43,163.28,25854680
2016-07-15,AAPL,162.09,165.38,160.87,163.99,9323330
2016-07-18,AAPL,165.21,170.23,162.22,168.15,10246779
2016-07-19,AAPL,166.75,169.53,164.61,165.36,13978261
2016-07-20,AAPL,165.26,166.52,159.93,163.1,5272421
2016-07-21,AAPL,161.61,164.19,159.35,159.52,9245533
2016-07-22,AAPL,160.74,162.0,159.16,159.46,30943176
2016-07-25,AAPL,159.18,160.16,156.04,158.93,1388636
2016-07-26,AAPL,160.2,162.61,154.49,157.38,36146412
2016-07-27,AAPL,156.2,161.66,154.77,159.63,32436509
2016-07-28,AAPL,158.63,161.22,154.63,156.67,13217810
2016-07-29,AAPL,157.44,160.04,156.68,159.12,2179273
2016-08-01,AAPL,158.4,159.4,156.47,158.14,6301649
2016-08-02,AAPL,159.69,160.26,156.58,159.3,2645096
2016-08-03,AAPL,160.63,164.06,157.9,163.13,34796076
2016-08-04,AAPL,163.31,165.77,160.82,163.18,18509070
2016-08-05,AAPL,161.87,162.59,159.3,159.61,15897320
2016-08-08,AAPL,160.62,164.54,159.69,161.37,13520976
2016-08-09,AAPL,159.93,162.31,158.57,160.65,48509753
2016-08-10,AAPL,160.18,161.52,159.46,161.35,3887109
2016-08-11,AAPL,161.59,161.98,156.12,158.4,9998758
2016-08-12,AAPL,156.9,158.74,156.63,157.77,33665473
2016-08-15,AAPL,156.93,160.37,155.17,157.56,46118739
2016-08-16,AAPL,157.86,161.79,155.58,158.82,37244514
2016-08-17,AAPL,158.53,164.46,155.48,162.41,42649231
2016-08-18,AAPL,162.11,163.77,157.48,159.83,46731178
2016-08-19,AAPL,158.33,159.41,156.73,156.74,1747025
2016-08-22,AAPL,155.55,158.07,152.71,155.96,38739296
2016-08-23,AAPL,155.65,155.67,153.65,154.07,24382339
2016-08-24,AAPL,154.42,156.36,151.97,152.53,48599420
2016-08-25,AAPL,152.9,154.75,150.97,152.02,36138412
2016-08-26,AAPL,151.26,153.91,151.12,152.57,49426927
2016-08-29,AAPL,152.89,154.01,152.52,153.73,26062092
2016-08-30,AAPL,154.59,159.12,151.76,156.64,14827493
2016-08-31,AAPL,157.08,157.1,152.93,153.14,5468515
2016-09-01,AAPL,153.99,154.81,151.94,152.93,32326613
2016-09-02,AAPL,152.7,154.95,150.47,151.58,34670056
